"id","visit","center","fca2c","fca2d","fca3c","fca3d","fca4c","fca4d","fca5c","fca5d","fca6c","fca6d","fca7c","fca7d","fca8c","fca8d","fca9c","fca9d","fca10c","fca10d","fca11c","fca11d","fca12c","fca12d","fca13c","fca13d","fca14c","fca14d","fca15","fca1b","fca2b","fca3b","fca4b","fca5b","fca6b","fca7b","fca8b","fca9b","fca10b","fca11b","fca12b","fca13b","fca14b","fca16"
"EA44265",8,"EA","MOM","B","SIS","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"JAS",8,35,14,6,4,,,,,,,,,,6/15/1997
"EA44282",8,"EA","MOM","B","GMA","B","BRO","B","AUN","B","UNC","B","UNC","B","UNC","B",,,,,,,,,,,,,"MAK",8,28,48,6,15,19,16,27,,,,,,,5/15/1998
"EA44298",8,"EA","AUN","B","SIS","B","AUN","B","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","TLT",8,35,7,32,,,,,,,,,,,1/15/1999
"EA44302",8,"EA","MOM","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"KYR",8,35,10,2,,,,,,,,,,,10/15/1999
"EA44310",8,"EA","MOM","B","SIS","B","BRO","B","BRO","B","BRO","B","BRO","B",,,,,,,,,,,,,,,"CET",8,26,9,8,6,4,1,,,,,,,,7/15/1997
"EA44351",8,"EA","MOM","B","SIS","B","SIS","B","OMC","B","OMC","B",,,,,,,,,,,,,,,,,"CET",8,44,18,15,1,0,,,,,,,,,2/15/1998
"EA44368",8,"EA","MOM","B","SIS","B","SIS","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,"ACG",7,30,11,6,5,2,,,,,,,,,2/15/1998
"EA44379",8,"EA","MOM","B","DAD","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"CET",7,28,29,9,4,,,,,,,,,,8/15/1997
"EA44396",8,"EA","MOM","B","DAD","B","SIS","B","SIS","B","BRO","B","BRO","B","SIS","B","OMC","B",,,,,,,,,,,"KYR",8,42,43,24,12,10,6,4,3,,,,,,9/15/1998
"EA44404",8,"EA","MOM","B","OMA","U","BRO","B","SIS","S","BRO","S","SIS","S","===","=","===","=","===","=","===","=","===","=","===","=","===","=","KYR",7,33,40,9,9,4,19,,,,,,,,9/15/1998
"EA44481",8,"EA","MOM","B","DAD","B","SIS","B","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","KRW",8,29,28,3,,,,,,,,,,,2/15/1999
"EA44528",8,"EA","MOM","B","DAD","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"CXM",8,29,30,11,7,,,,,,,,,,4/15/1999
"EA45034",8,"EA","MOM","B","DAD","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,"BEB",8,43,53,6,2,,,,,,,,,,1/15/1997
"EA45041",8,"EA","MOM","B","SIS","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"ACG",8,28,10,9,3,,,,,,,,,,1/15/1998
"EA45057",8,"EA","MOM","B","GMA","B","OMA","S","CSF","B","CSF","B",,,,,,,,,,,,,,,,,"===",8,35,62,71,10,8,,,,,,,,,8/15/1996
"EA45062",8,"EA","MOM","B","BRO","B","BRO","B","CSF","B",,,,,,,,,,,,,,,,,,,"BEB",8,27,9,6,10,,,,,,,,,,10/15/1997
"EA45073",8,"EA","GMA","B","GPA","B","SIS","B","BRO","B","BRO","S",,,,,,,,,,,,,,,,,"BEB",8,48,53,10,6,12,,,,,,,,,2/15/1997
"EA45085",8,"EA","MOM","B","SIS","B",,,,,,,,,,,,,,,,,,,,,,,"KYR",8,30,10,,,,,,,,,,,,6/15/1998
"EA45125",8,"EA","MOM","B","BRO","B","BRO","B","SIS","B","BRO","B","SIS","B",,,,,,,,,,,,,,,"MMT",8,33,11,10,10,2,2,,,,,,,,9/15/1996
"EA45133",8,"EA","MOM","B","BRO","B","GMA","B",,,,,,,,,,,,,,,,,,,,,"JAS",8,31,14,65,,,,,,,,,,,2/15/1997
"EA45158",8,"EA","MOM","B","BRO","B","GMA","B",,,,,,,,,,,,,,,,,,,,,"CET",7,36,14,64,,,,,,,,,,,5/15/1997
"EA45186",8,"EA","MOM","B","DAD","B","SIS","B","AUN","B",,,,,,,,,,,,,,,,,,,"BEB",7,35,35,6,82,,,,,,,,,,3/15/1997
"EA45194",8,"EA","===","=","MOM","F","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"BEB",8,,50,10,9,,,,,,,,,,7/15/1996
"EA45201",8,"EA","AUN","B","BRO","B","SIS","B","CSF","B",,,,,,,,,,,,,,,,,,,"BEB",7,51,6,2,20,,,,,,,,,,4/15/1997
"EA45236",8,"EA","MOM","B","GMA","B",,"B","AUN","B","OFC","B",,,,,,,,,,,,,,,,,"JAS",8,35,54,63,32,13,,,,,,,,,11/15/1996
"EA45248",8,"EA","MOM","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"BEB",7,27,7,4,,,,,,,,,,,1/15/1998
"EA45250",8,"EA","GMA","B","UNC","B",,,,,,,,,,,,,,,,,,,,,,,"BEB",8,60,31,,,,,,,,,,,,12/15/1996
"EA45269",8,"EA","MOM","B","SIS","B","GMA","B","GPA","B",,,,,,,,,,,,,,,,,,,"CET",8,41,9,68,70,,,,,,,,,,11/15/1996
