"id","visit","center","fca2c","fca2d","fca3c","fca3d","fca4c","fca4d","fca5c","fca5d","fca6c","fca6d","fca7c","fca7d","fca8c","fca8d","fca9c","fca9d","fca10c","fca10d","fca11c","fca11d","fca12c","fca12d","fca13c","fca13d","fca14c","fca14d","fca15","fca1b","fca2b","fca3b","fca4b","fca5b","fca6b","fca7b","fca8b","fca9b","fca10b","fca11b","fca12b","fca13b","fca14b","fca16"
"EA40821",8,"EA","MOM","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"MMW",8,34,11,9,,,,,,,,,,,9/15/1996
"EA40837",8,"EA","MOM","B","BRO","B","BRO","B","SIS","B","BRO","B","BRO","B","BRO","B","SIS","B",,,,,,,,,,,"MPG",8,27,10,6,9,4,2,2,1,,,,,,7/15/1997
"EA40849",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"CET",8,35,,,,,,,,,,,,,3/15/1998
"EA40865",8,"EA","MOM","B","GMA","B","OMA","X","OMA","U","SIS","B","SIS","B",,,,,,,,,,,,,,,"CET",8,28,50,42,38,9,6,,,,,,,,4/15/1998
"EA40882",8,"EA","MOM","B","SIS","S",,,,,,,,,,,,,,,,,,,,,,,"BEB",7,31,2,,,,,,,,,,,,8/15/1996
"EA40909",8,"EA","MOM","B","BRO","B","BRO","B","GMA","B",,,,,,,,,,,,,,,,,,,"CET",7,29,13,1,51,,,,,,,,,,6/15/1997
"EA40917",8,"EA","MOM","B","OMA","U","SIS","B","SIS","B","BRO","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","KYR",8,29,35,5,2,0,,,,,,,,,10/15/1998
"EA40925",8,"EA","MOM","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"CET",8,31,14,11,,,,,,,,,,,9/15/1997
"EA40940",8,"EA","SIS","B","BRO","B","SIS","B","BRO","B","SIS","B","OMC","B","OFC","B",,,,,,,,,,,,,"KYR",7,20,12,10,9,6,3,0,,,,,,,9/15/1998
"EA40958",8,"EA","MOM","B","BRO","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,"KYR",8,29,12,10,5,,,,,,,,,,6/15/1998
"EA40986",8,"EA","GMA","B","CSF","B","AUN","B","AUN","B","SIS","B",,,,,,,,,,,,,,,,,"AXK",8,50,19,38,20,4,,,,,,,,,8/15/1998
"EA40994",8,"EA","MOM","B","DAD","B","BRO","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,"BEB",8,30,30,6,3,0,,,,,,,,,3/15/1998
"EA41002",8,"EA","MOM","B","SIS","B",,,,,,,,,,,,,,,,,,,,,,,"CET",8,37,6,,,,,,,,,,,,4/15/1998
"EA41010",8,"EA","MOM","B","BRO","B","DAD","B","===","=",,,,,,,,,,,,,,,,,,,"MAP",8,30,2,34,,,,,,,,,,,10/15/1997
"EA41051",8,"EA","MOM","B","OMA","U","SIS","B","SIS","B","SIS","B","BRO","B",,,,,,,,,,,,,,,"MPG",8,24,21,6,3,1,0,,,,,,,,6/15/1997
"EA41068",8,"EA","MOM","A","DAD","A","BRO","A",,,,,,,,,,,,,,,,,,,,,"MAK",8,39,40,15,,,,,,,,,,,5/15/1998
"EA41084",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"===",7,28,,,,,,,,,,,,,10/15/1997
"EA41096",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"CET",,34,,,,,,,,,,,,,3/15/1997
"EA41103",8,"EA","AUN","B","GMA","B","SIS","B","OMC","U","OMC","U","CSM","B",,,,,,,,,,,,,,,"CET",8,54,78,13,13,10,15,,,,,,,,3/15/1997
"EA41111",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"MAP",8,29,,,,,,,,,,,,,1/15/1998
"EA41124",8,"EA","MOM","B","BRO","B",,,,,,,,,,,,,,,,,,,,,,,"KYR",8,32,12,,,,,,,,,,,,6/15/1998
"EA41139",8,"EA","MOM","B","BRO","B","SIS","B","BRO","B","SIS","B",,,"---","-","---","-","---","-","---","-","---","-","---","-","---","-","MAK",8,34,10,6,3,1,,,,,,,,,11/15/1998
"EA41152",8,"EA","MOM","B","SIS","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","JGH",8,28,5,,,,,,,,,,,,9/15/1998
"EA41167",8,"EA","MOM","B","BRO","B","OMA","X",,,,,,,,,,,,,,,,,,,,,"CET",8,28,6,33,,,,,,,,,,,6/15/1998
"EA41178",8,"EA","AUN","B","CSF","B","AUN","B","CSF","B","CSF","B","SIS","B","SIS","B","SIS","B",,,,,,,,,,,"CET",8,52,23,22,12,4,16,13,0,,,,,,2/15/1998
"EA41195",8,"EA","MOM","B","DAD","B","SIS","B","OFC","B",,,,,,,,,,,,,,,,,,,"KYR",8,36,46,16,0,,,,,,,,,,9/15/1998
"EA41207",8,"EA","MOM","B","DAD","B","BRO","B","BRO","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","KYR",8,29,35,10,3,,,,,,,,,,9/15/1998
"EA41215",8,"EA","OFA","B","CSM","B","CSM","B","CSM","B",,,,,,,,,,,,,,,,,,,"KYR",8,36,19,15,3,,,,,,,,,,1/15/1999
"EA41230",8,"EA","GMA","B","DAD","B",,,,,,,,,,,,,,,,,,,,,,,"KYR",7,56,35,,,,,,,,,,,,12/15/1998
"EA41242",8,"EA","MOM","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"KYR",7,34,17,16,,,,,,,,,,,9/15/1998
"EA41274",8,"EA","MOM","B","GMA","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,"BEB",8,37,53,20,13,,,,,,,,,,1/15/1998
"EA41289",8,"EA","MOM","B","OMA","U",,,,,,,,,,,,,,,,,,,,,,,"KYR",8,30,26,,,,,,,,,,,,1/15/1999
"EA41325",8,"EA","DAD","B","GMA","B","OMA","X",,,,,,,,,,,,,,,,,,,,,"CET",8,45,67,59,,,,,,,,,,,4/15/1998
"EA41333",8,"EA","MOM","B","DAD","A","BRO","B",,,,,,,,,,,,,,,,,,,,,"KYR",7,28,33,2,,,,,,,,,,,6/15/1998
"EA41340",8,"EA","MOM","B","SIS","B","CSM","B",,,,,,,,,,,,,,,,,,,,,"CET",7,27,3,1,,,,,,,,,,,1/15/1998
"EA41361",8,"EA","MOM","B","DAD","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"KYR",8,39,44,13,,,,,,,,,,,12/15/1998
"EA41372",8,"EA","MOM","B","BRO","B","BRO","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","JGH",7,28,6,3,,,,,,,,,,,8/15/1998
"EA41386",8,"EA","MOM","B","SIS","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","JGH",8,36,15,,,,,,,,,,,,7/15/1998
"EA41394",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"KYR",8,28,,,,,,,,,,,,,9/15/1999
"EA41406",8,"EA","AUN","B","SIS","B",,,,,,,,,,,,,,,,,,,,,,,"KYR",7,41,5,,,,,,,,,,,,7/15/1998
"EA41427",8,"EA","MOM","B","SIS","B","SIS","B","BRO","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","MAK",8,41,15,9,14,,,,,,,,,,3/15/1999
"EA41431",8,"EA","MOM","B","SIS","B","SIS","B","BRO","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","JGH",8,28,6,5,1,,,,,,,,,,9/15/1998
"EA41443",8,"EA","AUN","B","SIS","B","UNC","B","MOM","B","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===",7,80,9,52,34,,,,,,,,,,12/15/1998
"EA41455",8,"EA","MOM","B","OMC","U","BRO","B","OMC","U","OMC","U","OMC","U",,,,,,,,,,,,,,,"CET",8,54,9,8,4,2,0,,,,,,,,4/15/1998
"EA43011",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"JAS",8,27,,,,,,,,,,,,,3/15/1997
"EA43024",8,"EA","MOM","B","GMA","B",,,,,,,,,,,,,,,,,,,,,,,"CET",8,28,59,,,,,,,,,,,,5/15/1997
"EA43039",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"BEB",8,36,,,,,,,,,,,,,2/15/1998
"EA43046",8,"EA","MOM","B","BRO","B","BRO","B","SIS","B","CSM","B","CSM","B",,,,,,,,,,,,,,,"BEB",8,34,15,9,6,22,2,,,,,,,,3/15/1997
"EA43052",8,"EA","MOM","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"===",8,33,14,10,,,,,,,,,,,1/15/1996
"EA43067",8,"EA","MOM","B","BRO","B","SIS","B","SIS","B","GMA","B","OMA","U",,,,,,,,,,,,,,,"BEB",8,34,8,6,15,65,65,,,,,,,,11/15/1997
"EA43078",8,"EA","MOM","B","OMA","X","SIS","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,"BEB",8,27,30,5,7,9,,,,,,,,,3/15/1997
"EA43095",8,"EA","MOM","B","BRO","B","DAD","B","GMA","B",,,,,,,,,,,,,,,,,,,"CET",7,34,11,34,51,,,,,,,,,,2/15/1997
"EA43104",8,"EA","MOM","B","DAD","S","BRO","B",,,,,,,,,,,,,,,,,,,,,"BEB",8,27,43,5,,,,,,,,,,,10/15/1997
"EA43112",8,"EA","MOM","B","GMA","B","UNC","B",,,,,,,,,,,,,,,,,,,,,"CET",8,33,76,74,,,,,,,,,,,1/15/1997
"EA43138",8,"EA","MOM","B","DAD","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,"===",8,38,40,15,4,,,,,,,,,,5/15/1996
"EA43145",8,"EA","MOM","B","SIS","B",,,,,,,,,,,,,,,,,,,,,,,"DNG",8,29,11,,,,,,,,,,,,3/15/1996
"EA43166",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"BEB",7,28,,,,,,,,,,,,,5/15/1997
"EA43177",8,"EA","MOM","B","SIS","B","OMA","U",,,,,,,,,,,,,,,,,,,,,"CET",8,23,4,23,,,,,,,,,,,2/15/1998
"EA43181",8,"EA","MOM","B","BRO","B","GMA","B",,,,,,,,,,,,,,,,,,,,,"BEB",7,26,10,46,,,,,,,,,,,12/15/1997
"EA43206",8,"EA","MOM","B","SIS","B","GMA","B",,,,,,,,,,,,,,,,,,,,,"MAK",8,30,2,,,,,,,,,,,,5/15/1998
"EA43255",8,"EA","MOM","B","SIS","B","GMA","B",,,,,,,,,,,,,,,,,,,,,"===",8,38,19,77,,,,,,,,,,,12/15/1995
"EA43264",8,"EA","MOM","B","BRO","B","SIS","B","OMA","X",,,,,,,,,,,,,,,,,,,"BEB",7,35,7,4,36,,,,,,,,,,8/15/1997
"EA43270",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"BEB",7,40,,,,,,,,,,,,,10/15/1997
"EA43292",8,"EA","MOM","B","SIS","B","DAD","S",,,,,,,,,,,,,,,,,,,,,"CET",7,26,3,32,,,,,,,,,,,5/15/1997
"EA43308",8,"EA","MOM","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"CET",8,26,10,6,,,,,,,,,,,1/15/1997
"EA43334",8,"EA","MOM","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,,,"JRB",8,24,5,4,,,,,,,,,,,5/15/1996
"EA43357",8,"EA","MOM","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"===",8,34,2,0,,,,,,,,,,,7/15/1996
"EA43373",8,"EA","MOM","B","GMA","B",,,,,,,,,,,,,,,,,,,,,,,"BEB",7,26,64,,,,,,,,,,,,2/15/1997
"EA43390",8,"EA","GMA","B","UNC","B","AUN","B","OMA","X","DAD","B","CSF","B",,,,,,,,,,,,,,,"BST",8,47,30,18,47,28,8,,,,,,,,10/15/1996
"EA43426",8,"EA","MOM","B","DAD","B","BRO","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,"===",8,35,39,17,11,6,,,,,,,,,8/15/1996
"EA43459",8,"EA","MOM","B","BRO","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"CET",8,34,16,10,5,,,,,,,,,,2/15/1997
"EA43493",8,"EA","MOM","B","GMA","B","SIS","B","BRO","B","CSF","B",,,,,,,,,,,,,,,,,"JAS",8,34,58,10,16,,,,,,,,,,5/15/1997
"EA43522",8,"EA","MOM","B","DAD","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"CET",7,33,34,13,10,,,,,,,,,,3/15/1997
"EA43548",8,"EA","MOM","B","BRO","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"ACG",8,31,13,11,5,,,,,,,,,,3/15/1998
"EA43550",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"BEB",8,21,,,,,,,,,,,,,11/15/1997
"EA43569",8,"EA","MOM","B","BRO","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"DNG",7,48,20,16,12,,,,,,,,,,8/15/1996
"EA43575",8,"EA","MOM","B","DAD","S","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"BEB",8,28,24,6,9,,,,,,,,,,1/15/1997
"EA43583",8,"EA","MOM","B","AUN","B",,,,,,,,,,,,,,,,,,,,,,,"CET",7,25,29,,,,,,,,,,,,10/15/1997
"EA43597",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"KYR",8,29,,,,,,,,,,,,,10/15/1998
"EA43602",8,"EA","MOM","S","DAD","B","BRO","S",,,,,,,,,,,,,,,,,,,,,"BEB",8,30,30,10,,,,,,,,,,,2/15/1997
"EA43623",8,"EA","MOM","B","BRO","B",,,,,,,,,,,,,,,,,,,,,,,"KYR",8,27,4,,,,,,,,,,,,1/15/1999
"EA43635",8,"EA","MOM","B","DAD","S","SIS","B",,,,,,,,,,,,,,,,,,,,,"BEB",8,25,31,3,,,,,,,,,,,1/15/1998
"EA43684",8,"EA","MOM","B","BRO","B","BRO","B","GMA","B","UNC","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","MAK",8,30,11,11,55,18,,,,,,,,,1/15/1999
"EA43696",8,"EA","MOM","B","OMA","U","BRO","B","BRO","F",,,,,,,,,,,,,,,,,,,"KYR",8,32,34,11,13,,,,,,,,,,10/15/1998
"EA43707",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"JAS",8,28,,,,,,,,,,,,,4/15/1997
"EA43715",8,"EA","MOM","B","GMA","B","UNC","B",,,,,,,,,,,,,,,,,,,,,"JTB",8,37,53,59,,,,,,,,,,,11/15/1997
"EA43730",8,"EA","MOM","B","OMC","B","DAD","B",,,,,,,,,,,,,,,,,,,,,"===",8,27,8,31,,,,,,,,,,,5/15/1997
"EA43742",8,"EA","MOM","B","GMA","B","GPA","S","BRO","B","BRO","B",,,,,,,,,,,,,,,,,"CET",8,25,45,39,6,20,,,,,,,,,1/15/1997
"EA43756",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"KYR",8,29,,,,,,,,,,,,,10/15/1998
"EA43774",8,"EA","MOM","B","GMA","B","BRO","B","SIS","B","SIS","B","SIS","B",,,,,,,,,,,,,,,"CET",8,32,52,13,11,6,3,,,,,,,,4/15/1997
"EA43789",8,"EA","MOM","B","SIS","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"KYR",7,28,6,11,4,,,,,,,,,,6/15/1998
"EA43817",8,"EA","MOM","B","SIS","B",,,,,,,,,,,,,,,,,,,,,,,"CET",8,33,13,,,,,,,,,,,,12/15/1997
"EA43825",8,"EA","MOM","B","DAD","S","BRO","B","SIS","B","SIS","B",,,,,,,,,,,,,,,,,"CET",8,27,31,5,12,3,,,,,,,,,3/15/1998
"EA43840",8,"EA","MOM","B",,"B","BRO","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,"LJL",8,38,60,16,6,5,,,,,,,,,1/15/1999
"EA43858",8,"EA","MOM","B","OFA","U",,,,,,,,,,,,,,,,,,,,,,,"===",8,40,20,,,,,,,,,,,,8/15/1996
"EA43861",8,"EA","MOM","B","OMA","U","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","KRW",8,28,28,,,,,,,,,,,,1/15/1999
"EA43872",8,"EA","MOM","B","BRO","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,"MAP",8,18,5,2,0,,,,,,,,,,11/15/1997
"EA43886",8,"EA","MOM","B","DAD","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"===",8,26,29,5,,,,,,,,,,,6/15/1996
"EA43900",8,"EA","MOM","B","SIS","B","BRO","B","SIS","B","SIS","B","GMA","B",,,,,,,,,,,,,,,"BEB",8,33,12,12,10,18,70,,,,,,,,9/15/1997
"EA43913",8,"EA","GMA","B","BRO","B","UNC","B","UNC","B","UNC","B","UNC","B",,,,,,,,,,,,,,,"CET",8,52,6,31,28,20,49,,,,,,,,2/15/1997
"EA43921",8,"EA","MOM","B","DAD","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,"BEB",8,39,32,12,3,,,,,,,,,,4/15/1997
"EA43937",8,"EA","MOM","B","DAD","B","BRO","B","SIS","B",,,,,,,,,,,,,,,,,,,"BEB",8,36,36,12,6,,,,,,,,,,8/15/1997
"EA43965",8,"EA","MOM","B","BRO","B","SIS","B","AUN","B","UNC","B","GPA","B",,,,,,,,,,,,,,,"KYR",8,24,8,1,17,33,60,,,,,,,,4/15/1999
"EA43982",8,"EA","MOM","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"BEB",8,27,6,4,,,,,,,,,,,4/15/1997
"EA43998",8,"EA","MOM","B","SIS","B","BRO","B","GMA","B",,,,,,,,,,,,,,,,,,,"CET",8,40,13,2,64,,,,,,,,,,6/15/1997
"EA44009",8,"EA","MOM","B","OMA","X","SIS","B",,,,,,,,,,,,,,,,,,,,,"BEB",8,31,27,5,,,,,,,,,,,6/15/1997
"EA44017",8,"EA","MOM","B","GMA","B","AUN","B","CSF","B","CSM","B","CSF","B","CSF","B",,,,,,,,,,,,,"BEB",8,34,64,35,8,18,10,8,,,,,,,5/15/1997
"EA44033",8,"EA","MOM","B","GMA","B","BRO","B","AUN","B","CSM","B",,,,,,,,,,,,,,,,,"JGH",8,24,44,3,26,5,,,,,,,,,1/15/1999
"EA44040",8,"EA","MOM","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"CET",8,44,14,22,,,,,,,,,,,3/15/1998
"EA44058",8,"EA","MOM","B","BRO","=","OMA","=",,,,,,,,,,,,,,,,,,,,,"===",8,30,6,30,,,,,,,,,,,8/15/1996
"EA44072",8,"EA","MOM","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"CET",8,28,10,5,,,,,,,,,,,8/15/1998
"EA44086",8,"EA","MOM","B",,,,,,,,,,,,,,,,,,,,,,,,,"CET",8,29,,,,,,,,,,,,,5/15/1998
"EA44094",8,"EA","MOM","B","SIS","B","SIS","B","BRO","B","OMA","X",,,,,,,,,,,,,,,,,"BEB",8,24,6,1,2,25,,,,,,,,,4/15/1998
"EA44126",8,"EA","MOM","B","DAD","S","BRO","B","SIS","B","SIS","B","BRO","B",,,,,,,,,,,,,,,"ACG",8,35,37,14,11,5,4,,,,,,,,2/15/1998
"EA44144",8,"EA","GMA","B","GPA","B","BRO","B","BRO","B",,,,,,,,,,,,,,,,,,,"CET",8,62,62,11,6,,,,,,,,,,3/15/1998
"EA44159",8,"EA","DAD","B","SIS","B","BRO","B",,,,,,,,,,,,,,,,,,,,,"JAS",8,38,6,5,,,,,,,,,,,7/15/1997
"EA44160",8,"EA","MOM","B","DAD","B","SIS","B","SIS","B","UNC","B","CSF","B","OMA","U",,,,,,,,,,,,,"BEB",8,34,41,13,12,51,36,36,,,,,,,2/15/1998
"EA44171",8,"EA","MOM","B","GMA","B","GPA","B","CSM","B","CSM","B","SIS","B","UNC","B",,,,,,,,,,,,,"MAK",8,45,62,61,9,6,2,43,,,,,,,6/15/1998
"EA44200",8,"EA","MOM","B","GMA","B","AUN","B","AUN","B","CSM","B","BRO","B","SIS","B",,,,,,,,,,,,,"BEB",8,25,42,18,23,1,10,4,,,,,,,1/15/1997
"EA44213",8,"EA","MOM","B","SIS","B","SIS","B","DAD","X",,,,,,,,,,,,,,,,,,,"ACG",8,48,16,6,50,,,,,,,,,,3/15/1998
"EA44249",8,"EA","MOM","B","OMA","U","SIS","B","SIS","B","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","===","=","KRW",7,25,33,6,5,,,,,,,,,,3/15/1999
"EA44254",8,"EA","MOM","B","BRO","B","SIS","B","SIS","B","BRO","B","---","-","---","-","---","-","---","-","---","-","---","-","---","-","---","-","JGH",8,29,9,6,5,3,,,,,,,,,12/15/1998
