"center","id","visit","YSCA1A","YSCA1B","YSCA1C","YSCA2A","YSCA2B","YSCA2C","YSCA9","YSCA1","YSCA1A1","YSCA1A2","YSCA1B0","YSCA1B1","YSCA1B2","YSCA1C0","YSCA1C1","YSCA1C2","YSCA2","YSCA2A1","YSCA2A2","YSCA2B0","YSCA2B1","YSCA2B2","YSCA2C0","YSCA2C1","YSCA2C2","YSCA3","YSCA3A1","YSCA3B0","YSCA3B1","YSCA3C0","YSCA3C1","YSCA4","YSCA4A1","YSCA4B0","YSCA4B1","YSCA4C0","YSCA4C1","YSCA5A","YSCA5B","YSCA6A","YSCA6B","YSCA6C","YSCA6D","YSCA7A","YSCA8A","YSCA8B","YSCA8C","YSCA8D","YSCA8E","YSCA8F","YSCA8G","YSCA10"
"EA","EA40414",12,"FOOTBALL","BASEBALL","BASKETBALL","COLLECT POKEMON",,,"KRW",1,1,1,1,0,2,1,2,2,1,2,1,0,,,,,,1,1,0,,,,1,0,1,2,1,2,3,1,1,2,1,2,1,2,2,2,2,9,,,3/15/2000
"EA","EA40414",18,"BASKETBALL","FOOTBALL",,,,,"JWW",1,1,1,1,1,1,0,,,0,,,,,,,,,0,,,,,,1,2,0,,,,3,2,1,2,1,2,1,2,3,3,3,,,,5/15/2006
"EA","EA40422",12,"BASKETBALL","FOOTBALL",,"PLAYING SPORT VIDEO GAMES",,,"DKV",1,1,1,1,0,1,0,,,1,2,1,0,,,,,,0,,,,,,0,,,,,,3,2,1,1,2,2,1,3,2,1,3,9,,,8/15/2001
"EA","EA40422",18,"BASKETBALL","FOOTBALL",,"GAMES","BOOKS",,"MJM",1,0,1,1,0,1,0,,,1,1,1,1,1,0,0,,,0,,,,,,1,1,0,,,,2,2,2,0,2,2,0,,,,,,,,9/15/2009
"EA","EA40436",12,"BASKETBALL","SWIMMING",,,,,"TMM",1,2,2,1,1,1,0,,,0,,,,,,,,,0,,,,,,1,2,1,1,0,,2,1,1,2,2,2,1,3,9,1,3,9,,,2/15/2000
"EA","EA40436",18,"FOOTBALL","BASKETBALL",,"DRAWING","PLAY GAMES",,"MJM",1,2,2,1,0,1,0,,,1,2,2,1,1,2,0,,,0,,,,,,1,2,0,,,,3,2,2,2,2,1,0,,,,,,,,12/15/2008
"EA","EA40450",12,"FOOTBALL","TENNIS",,"SINGING","LIKING WORKING WITH KIDS","DO PEOPLES HAIR","DKV",1,0,1,1,1,1,0,,,1,2,2,1,2,1,1,1,1,1,2,0,,,,1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,3,3,9,,8/15/2001
"EA","EA40450",18,"VOLLEYBALL",,,"READING BOOKS",,,"JWW",1,1,1,0,,,,,,1,2,2,0,,,,,,0,,,,,,1,2,0,,,,2,2,1,1,2,2,0,,,,,,,,10/15/2006
"EA","EA40475",18,"FOOTBALL","BASKETBALL",,"RAPPING",,,"M J",1,0,2,1,1,2,0,,,1,2,2,0,,,,,,0,,,,,,0,,,,,,3,2,1,2,2,2,0,,,,,,,,12/15/2009
"EA","EA40497",18,"VOLLEYBALL",,,"CARD GAMES","SHOPPING","WALKING","MJM",1,1,1,0,,,,,,1,0,1,1,1,1,1,2,2,0,,,,,,1,1,1,1,0,,2,0,2,1,0,2,0,,,,,,,,7/15/2008
