"center","id","YNEA1","YNEA2","YNEA3","YNEA4","YNEA5","YNEA6","YNEA7","YNEA8","YNEA9","YNEA10","YNEA11","YNEA12","YNEA13","YNEA14","YNEA15","YNEA16","YNEA17","YNEA18","YNEA19","YNEA20","YNEA21","visit"
"SW","SW22533","2","2","2","0","0","0","2","3","2","1","0","0","0","2","2","2","2","0","3","3","3",18
"SW","SW22558","2","2","2","0","0","0","3","3","2","3","2","0","0","2","2","3","2","0","3","2","3",18
"SW","SW22561","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","3","3","0","3","2","2",18
"SW","SW22594","3","3","3","0","0","0","3","3","3","3","0","0","0","0","3","3","3","0","2","3","3",18
"SW","SW22605","2","2","2","0","1","0","3","3","3","2","0","0","0","2","3","3","3","0","3","3","3",18
"SW","SW22626","0","2","0","2","0","0","2","1","1","1","1","1","1","1","1","2","1","0","2","1","1",18
"SW","SW22644","2","3","2","1","0","0","3","3","3","2","0","0","1","2","3","2","2","0","2","2","2",18
"SW","SW22659","2","2","2","1","0","0","2","2","2","2","0","0","0","2","2","3","2","0","2","2","1",18
"SW","SW22671","1","1","1","1","1","1","2","1","1","1","0","0","1","1","2","1","1","1","1","1","1",18
"SW","SW22712","2","2","2","0","0","0","3","3","3","3","0","0","0","2","3","3","2","0","3","3","3",18
"SW","SW22720","3","3","3","0","0","0","3","3","3","3","0","0","0","3","3","2","3","0","3","2","2",18
"SW","SW22745","2","2","2","2","0","0","3","3","3","3","0","0","0","3","3","2","3","0","3","0","0",18
"SW","SW22753","1","0",,"0","0","0","2","2","2","3","0","0","0","3","3","3","3","0","3","3","3",18
"SW","SW22766","1","3","2","0","0","0","3","3","3","2","0","0","0","3","1","1","3","0","3","3","3",18
"SW","SW22781","2","0","0","3","0","0","2","2","2","0","3","1","1","2","2","2","0","0","0","2","2",18
"SW","SW22799","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3",18
"SW","SW22801","2","2","1","1","0","0","2","2","1","1","0","0","0","2",,"1","1","0","2","3","2",18
"SW","SW22850","1","0","0","0","0","0","2","2","1","0","1","1","1","2","1","2",,"1","2","2","2",18
"SW","SW22869","2","1","1","2","0","0","2","1","1","1","0","0","0","1","2","1","1","0","1","2","2",18
"SW","SW22875","3","3","3","0","0","0","3","2","2","1","0","0","0","3","3","2","3","1","3","3","3",18
