"id","visit","center","kga1","kga2a","kga3a","kga4a","kga5","kga6","kga7","kga8","kga0","kga2","kga3","kga4","kga9"
"SO10926",8,"SO","NINTENDO/GAMES",,,"============================================================================","SHE'S LOVING","FUN AND CARES","INTERESTED IN LIFE","DL",1,0,0,,3/15/1995
"SO10944",8,"SO","PLAY WITH HIS LITTLE BROTHER A WHOLE LOT, SOMETIMES LOOK AT TV, SOMETIMES","PLAYS TEACHER (SCHOOL)",,,"HE DOESN'T TEAR THINGS UP","WHEN HE'S NOT DOWN HERE WORRYING ME- HE WANTS TO GET HIS TOYS OUT AND PLAY","KICKING A BALL","BBN",1,1,0,0,2/15/1995
"SO10959",8,"SO","PLAY POWER RANGERS - BIKE","POWER RANGERS",,,"HE IS A GOOD CHILD, HAS A GOOD HEART AND LOVES LITTLE CHILDREN","HE'S GENEROUS","MATH, LOVES NUMBERS","BBW",1,1,0,0,1/15/1995
"SO10993",8,"SO","WATCH VIDEOS AND DANCE",,,,"WAY SHE'S ABLE TO HANDLE HERSELF WHEN I'M NOT AROUND","EVERYTHING - SHE LOVES TO GO TO CHURCH, WILL CHANGE COUSINS DIAPERS","DANCING","BBN",1,0,0,0,1/15/1995
"SO11001",8,"SO","PLAY GAMES AND RUN AROUND THE HOUSE AND PLAY; EAT","ONLY WHEN HE HAS ANOTHER FRIEND PLAYING WITH HIM",,,"THAT HE HAS IMPROVED GREATLY IN SCHOOL","THAT HE'S A LOVING LITTLE BOY; HE'S REALLY AFFECTIONATE","SINGING; HE'S IN THE JUNIOR CHOIR AT CHURCH","MCP",1,1,0,0,4/15/1995
"SO11050",8,"SO","READ, GO TO CHURCH",,,,"HOW MUCH OF A MATURE PERSON SHE HAS BECOME","HOW WELL SHE ADJUSTED TO A NEW SCHOOL","SHE IS BEST AT MEETING NEW PEOPLE","GSL",1,0,0,0,2/15/1995
"SO11069",8,"SO","PLAY WITH ALLISON AND BRANDY","HOUSE, SCHOOL",,,"HER KINDNESS","SHE'S MY BABY","SHE GIVES WHATEVER SHE TRY HER BEST SHOT","LTP",1,1,0,0,5/15/1995
"SO11075",8,"SO","WATCH TV (CARTOONS) RIDE BIKE, PLAY FOOTBALL, EAT","TOY WRESTLER",,,"THE WAY HE GETS ALONG WITH OTHER KIDS - HE USED TO BE SO SELFISH","THE WAY HE'S TRYING TO BETTER HIMSELF IN SCHOOL","HIS WRITING - HOW IT LOOKS","LP",1,2,0,0,1/15/1995
"SO11083",8,"SO","PLAY WITH SUPER NINTENDO, PLAY CARS",,,,"SINCE HE'S BEEN IN SCHOOL THIS YEAR HE KNOWS SHAPES, NUMBERS, COLORS, ETC.","HE TRIES TO HELP CLEAN UP IN MORNING AND HELP ME","PUT AWAY TOYS WHEN ASKED","BBN",1,0,0,0,1/15/1995
"SO11102",8,"SO","YWCA - AFTER SCHOOL PROGRAM - SPENDS NIGHTS WITH GRAMMA","============================================================================",,,"TAKES CARE OF BROTHER AND SISTER","SAME AS ABOVE","DRAWING","DL",1,1,0,0,3/15/1995
"SO11110",8,"SO","BASEBALL CAMP KARATE CHURCH BICYCLE","PIRATES COWBOYS ENEMIES CAPTAINS",,,"HE'S A GOOD LITTLE BOY","HIM - WONDERFUL AFFECTIONATE","WORD SOLVING PROBLEMS / PUZZLES","GSL",1,1,0,0,5/15/1995
"SO11123",8,"SO","PLAY OUTSIDE (TRAMPOLINE, KICK BALL, BIKE)",,,,"DOES WHAT HE'S ASKED TO DO","VERY CARING AND HELPFUL PERSON","NINTENDO","TBL",1,0,0,0,1/15/1995
"SO11135",8,"SO","LIKES TO READ, PLAY WITH TOYS AND RIDE HER BIKE","SHE PLAYS SCHOOL (TEACHER & STUDENT)",,,"SHE LEARNING TO READ BETTER","SHE'S WARM AND CONSIDERATE.  KNOWS RIGHT FROM WRONG","GOOD WITH SCHOOL WORK","GSL",1,1,0,0,12/15/1995
"SO11147",8,"SO","RIDE BIKE, LOOK AT TV","POWER RANGERS",,,"HE IS SMART IN SCHOOL","GOOD IN SCHOOL","ACROBATICS (FLIPPPING) LIKE GYMNASTICS","GSL",1,1,0,0,4/15/1995
"SO11151",8,"SO","BOWLING, ROLLER SKATES, TRAMPOLINE","SHE'S THE TEACHER",,,"THE WAY SHE REACTS TO PEOPLE ABOUT HER SITUATION","HER LOVING WAYS","READING AND WRITING","GSL",1,1,0,0,12/15/1994
"SO11168",8,"SO","READING, PLAYING GAMES",,,,"HOW WELL SHE IS DOING IN SCHOOL","HOW SHE BOUNCES BACK AFTER HER ASTHMA ATTACKS","READING","GSL",1,0,0,0,12/15/1994
"SO11208",8,"SO","PLAY","SCHOOL",,,"HER SENSITIVITY SHE CARES ABOUT OTHER PEOPLE","EVERYTHIN HER PERSPECTIVE ON THINGS  SHE WILL FLOOR ME SOMETIMES - SHE'S","BEING CONCERNED ABOUT OTHERS AND THEIR FEELINGS","BBN",1,1,0,0,3/15/1995
"SO11216",8,"SO","PLAY OUTSIDE; NINTENDO","PRETENDS TO BE SOLDIERS CAMPING OUT",,,"HE IS POLITE, LISTENS","HIS PERSONALITY","MATH; SPORTS SKATING","ABW",1,1,0,0,3/15/1995
"SO11229",8,"SO","SING WITH CHOIR",,,,"HER ABILITY TO SING","SHE DOES PRETTY GOOD WORK","SINGING","GSL",1,0,0,0,3/15/1995
"SO11234",8,"SO","PLAY SEGA GENESIS",,,,"EVERYTHING","NICE, LOVING AND CARING CHILD","MATH","GSL",1,0,0,0,4/15/1995
"SO11241",8,"SO","READ, DRAW, PLAY TEA PARTIES","HOUSEKEEPING - IMAGINARY FRIEND","HAVING A TEA PARTY",,"VERY SMART, LOVES BOOKS","HER LIKING OF SCHOOL","READING AND DRAWING","DMP",1,1,1,0,1/15/1995
"SO11257",8,"SO","WATCH BARNEY AND PLAY COMPUTER","WITH DOLLS AND TOYS",,,"SHE IS SO SMART","HOW WELL SHE GETS ALONG WITH STEPFATHER","READING AND SPELLING","DL",1,2,0,0,3/15/1995
"SO11262",8,"SO","RIDE THE GO CART, PLAY WITH DOG, WATCH CARTOONS, GO TO COUSINS HOUSE","DOCTOR AND PLAY HOUSE",,,"HIS IMPROVEMENT IN SCHOOL","HE'S QUITE AND LOVABLE","HE'S GOOD AT FOLLOWING DIRECTIONS,HE'S GOOD AT MATH,HE PRETTY GOOD @ SHARING","BBN",1,1,0,0,3/15/1995
"SO11273",8,"SO","GO TO THE PARK","DOLLS",,,"SHE DONE GOOD IN SCHOOL & AROUND THE HOUSE; SHE'S A HELPFUL CHILD","SHE'S SWEET","WATCHING THE YOUNGER KIDS","BBN",1,1,0,0,2/15/1995
"SO11290",8,"SO","WATCH TV, PLAY WITH OTHER CHILDREN, TALK TO MOM",,,"============================================================================","SCHOOL WORK","CATCHES ON EASILY GETS ALONG EASILY WITH PEOPLE","GETTING ALONG WITH PEOPLE","TBL",1,0,0,,3/15/1995
"SO11305",8,"SO","PLAY WITH HER DOG AND HER FRIEND",,,,"BRIGHT, SMART, UNDERSTANDING, SWEET","HOW SHE TREATS ME.  SAYS SHE LOVES ME WHEN SHE SEES ME CRYING.","ANYTHING","TBL",1,0,0,0,3/15/1995
"SO11318",8,"SO","PLAY VIDEO GAMES - FOOTBALL, BASKETBALL, EAT",,,"============================================================================","RESPECTS FEELINGS - DOESN'T HURT INTENTIONALLY","NOT A BAD CHILD. LISTENS TO MOTHER. RESPECTS OLDER PEOPLE","VIDEO GAMES","TBL",1,0,0,,12/15/1994
"SO11326",8,"SO","PLAY SPORTS, GAMES OR RIDE HIS BICYCLE","TEACHING SCHOOL",,,"ATTITUDE","ATTITUDE WELL MANNERED","PLAYING NINTENDO GAMES","DMP",1,1,0,0,1/15/1995
"SO11332",8,"SO","PLAY GAMES (VIDEO AND OUTSIDE) AND WATCHES TV","============================================================================",,,"HIS MANNERS, HIS SPEECH, HIS CONDUCT, HE'S JUST A GOOD GUY, HE'S RESPECTFUL","VERY AFFECTIONATE AND CARING, VERY HELPFUL","GOOD AT EVERYTHING, GOOD AT KARATE AND AT HELPING HIS PAN PAN","MCP",1,1,0,0,3/15/1995
"SO11344",8,"SO","GO TO 4-H, GO OUTSIDE AND PLAY, NINTENDO, READ",,,,"EVERYTHING, HE LIKES GOING TO CHUCH AND SCHOOL WORK","HE HAS A HEART - HE SHARES","PLAYING GAMES","BBN",1,0,0,0,1/15/1995
"SO11359",8,"SO","RIDE HIS BIKE, PLAY WITH NINTENDO",,,,"HIS INTELLIGENCE; HE IS GOOD WITH SCHOOLWORK","HE'S LOVING, CUDDLY","SCHOOLWORK, BASEBALL, BASKETBALL","ABW",1,0,0,0,2/15/1995
"SO11360",8,"SO","PLAY GENESIS",,,,"HE'S VERY SMART IN SCHOOL","EVERYTHING, HE LISTENS AND IS WELL-BEHAVED","MATH, TALKING, EXPRESSING HIMSELF","ABW",1,0,0,0,2/15/1995
"SO11387",8,"SO","PLAY ALL THE TIME, BASKETBALL, GAMES, DOLLS","INDIANS AFTER THEM IN THE DESERT",,,"EVERYTHING - SHE DOESN'T GO TO EXTREMES; SHE'S A NICE NORMAL CHILD","VERY INDEPENDENT","GOOD AT EVERYTHING SHE DOES; GETS ALONG WELL WITH OTHERS","BBN",1,1,0,0,4/15/1995
"SO11393",8,"SO","PLAY VIDEOS, WATCH TV",,,,"HE'S SMART, LOTS OF COMMON SENSE","HE'S HELPFUL AROUND THE HOUSE","MATH, COMPUTER GAMES, ""CON GAMES""","ABW",1,0,0,0,3/15/1995
