"center","id","visit","WRAA1","WRAA3","WRAA4","AGE_MO","READ_AS","READ_STD","MATH_AS","MATH_STD","WRAB1","WRAB3"
"EA","EA43684",16,,,,195,524,105,,,1,47
"EA","EA43696",12,1,33,38,148,500,87,514,106,,
"EA","EA43707",12,1,37,31,151,505,97,500,86,,
"EA","EA43707",16,,,,192,530,112,,,1,50
"EA","EA43715",12,1,28,26,145,483,74,493,72,,
"EA","EA43715",16,,,,190,500,77,,,1,33
"EA","EA43730",12,1,25,31,149,476,67,500,86,,
"EA","EA43730",16,,,,189,483,66,,,1,28
"EA","EA43742",12,1,33,34,147,500,87,508,94,,
"EA","EA43742",16,,,,190,506,89,,,1,38
"EA","EA43756",12,1,32,27,159,497,80,494,71,,
"EA","EA43774",16,,,,190,512,95,,,1,41
"EA","EA43789",12,1,34,34,144,501,89,508,94,,
"EA","EA43789",16,,,,192,504,82,,,1,36
"EA","EA43791",12,1,32,26,153,497,84,493,72,,
"EA","EA43791",16,,,,193,486,67,,,1,29
"EA","EA43809",12,1,31,26,153,491,82,493,72,,
"EA","EA43809",16,,,,197,500,75,,,1,33
"EA","EA43817",12,1,34,30,161,501,84,499,78,,
"EA","EA43825",12,1,25,27,149,476,67,494,75,,
"EA","EA43840",12,1,28,24,146,483,74,487,67,,
"EA","EA43840",16,,,,192,486,67,,,1,29
"EA","EA43858",12,1,,,145,,,,,,
"EA","EA43858",16,,,,193,497,73,,,1,32
"EA","EA43861",12,1,39,36,161,509,96,511,94,,
"EA","EA43872",16,,,,190,505,86,,,1,37
"EA","EA43886",12,1,41,31,147,512,107,500,86,,
"EA","EA43886",16,,,,192,517.7,99,,,1,44
"EA","EA43913",12,1,33,,148,500,87,,,,
"EA","EA43913",16,,,,191,500,77,,,1,33
"EA","EA43921",12,1,50,43,151,530,129,522,119,,
"EA","EA43937",12,1,28,29,147,483,74,497,81,,
"EA","EA43937",16,,,,191,483,66,,,1,28
"EA","EA43965",12,1,29,26,155,486,77,493,72,,
"EA","EA43982",16,,,,193,524,105,,,1,47
"EA","EA43998",12,1,40,29,148,511,104,497,81,,
"EA","EA44017",16,,,,192,537,120,,,1,54
"EA","EA44033",12,1,36,38,146,504,94,514,106,,
"EA","EA44033",16,,,,198,520,101,,,1,45
"EA","EA44040",12,1,43,35,152,515,112,509,97,,
"EA","EA44058",12,1,28,38,148,483,74,514,106,,
"EA","EA44058",16,,,,192,504,82,,,1,36
"EA","EA44072",12,1,36,37,146,504,94,513.3,103,,
"EA","EA44086",12,1,41,43,144,512,107,522,119,,
"EA","EA44094",16,,,,192,,,,,1,
"EA","EA44126",12,1,39,35,153,509,102,509,97,,
"EA","EA44126",16,,,,193,515,97,,,1,43
"EA","EA44144",12,1,35,38,155,502,92,514,106,,
"EA","EA44144",16,,,,190,511,93,,,1,40
"EA","EA44159",12,1,28,38,159,483,70,514,99,,
"EA","EA44160",12,1,29,28,147,486,77,495,78,,
"EA","EA44171",12,1,40,33,150,511,104,506,92,,
"EA","EA44171",16,,,,205,514,93,,,1,42
"EA","EA44193",12,1,41,41,142,512,108,520.3,119,,
"EA","EA44213",16,,,,192,509,88,,,1,39
"EA","EA44237",12,1,17,18,144,454,47,472,50,,
"EA","EA44249",12,1,35,33,144,502,92,506,92,,
"EA","EA44249",16,,,,193,500,75,,,1,33
"EA","EA44254",12,1,44,35,144,517.7,114,509,97,,
"EA","EA44282",12,1,34,30,145,501,89,499,83,,
"EA","EA44282",16,,,,192,505,84,,,1,37
"EA","EA44298",12,1,45,35,151,520,117,509,97,,
"EA","EA44298",16,,,,206,530,110,,,1,50
"EA","EA44302",12,1,37,43,145,505,97,522,119,,
"EA","EA44310",12,1,37,35,151,505,97,509,97,,
"EA","EA44310",16,,,,202,509,88,,,1,39
"EA","EA44347",12,1,43,17,148,515,112,467,47,,
"EA","EA44351",12,1,31,38,147,491,82,514,106,,
"EA","EA44351",16,,,,197,501,78,,,1,34
"EA","EA44368",12,1,27,,144,482,72,,,,
"EA","EA44368",16,,,,194,500,75,,,1,33
"EA","EA44379",12,1,39,37,145,509,102,513.3,103,,
"EA","EA44396",12,1,33,31,148,500,87,500,86,,
"EA","EA44396",16,,,,207,506,85,,,1,38
"EA","EA44404",12,1,36,34,149,504,94,508,94,,
"EA","EA44412",12,1,38,37,152,506,99,513.3,103,,
"EA","EA44453",12,1,34,38,153,501,89,514,106,,
"EA","EA44453",16,,,,207,501,76,,,1,34
"EA","EA44481",12,1,38,34,145,506,99,508,94,,
"EA","EA44515",12,1,37,38,147,505,97,514,106,,
"EA","EA44515",16,,,,200,524,105,,,1,47
"EA","EA44528",12,1,49,35,146,529,127,509,97,,
"EA","EA45034",12,1,34,30,147,501,89,499,83,,
"EA","EA45034",16,,,,189,501,80,,,1,34
"EA","EA45041",12,1,30,30,144,489,79,499,83,,
"EA","EA45041",16,,,,190,504,84,,,1,36
"EA","EA45057",12,1,24,30,147,475,64,499,83,,
"EA","EA45057",16,,,,189,482,64,,,1,27
"EA","EA45062",12,1,45,46,149,520,117,528,128,,
"EA","EA45062",16,,,,190,529,113,,,1,49
"EA","EA45085",12,1,41,35,150,512,107,509,97,,
"EA","EA45125",16,,,,204,500,74,,,1,33
"EA","EA45158",12,1,27,25,152,482,72,492,69,,
"EA","EA45158",16,,,,197,483,65,,,1,28
"EA","EA45186",16,,,,194,506,86,,,1,38
"EA","EA45194",16,,,,191,506,89,,,1,38
"EA","EA45214",12,1,26,26,146,480,69,493,72,,
"EA","EA45214",16,,,,192,511,90,,,1,40
"EA","EA45236",12,1,50,50,150,530,129,536,139,,
"EA","EA45236",16,,,,189,533,120,,,1,52
"EA","EA45248",12,1,39,41,159,509,96,520.3,107,,
"EA","EA45248",16,,,,197,509,88,,,1,39
"EA","EA45269",12,1,23,29,144,474,62,497,81,,
"EA","EA45269",16,,,,188,474,55,,,1,23
"EA","EA45275",12,1,36,39,146,504,94,515,108,,
"EA","EA45275",16,,,,191,517.7,102,,,1,44
"EA","EA45283",12,1,26,32,145,480,69,502,89,,
"EA","EA45283",16,,,,192,486,67,,,1,29
"EA","EA45303",12,1,41,35,151,512,107,509,97,,
"EA","EA45303",16,,,,198,505,84,,,1,37
"EA","EA45311",12,1,39,35,151,509,102,509,97,,
"EA","EA45311",16,,,,195,517.7,99,,,1,44
"EA","EA45324",12,1,39,35,145,509,102,509,97,,
"EA","EA45324",16,,,,192,515,97,,,1,43
"EA","EA45346",12,1,33,32,,500,,502,,,
"EA","EA45346",16,,,,199,504,82,,,1,36
"EA","EA45352",12,1,34,31,160,501,84,500,81,,
"EA","EA45395",12,1,28,32,146,483,74,502,89,,
"EA","EA45395",16,,,,192,501,78,,,1,34
"EA","EA45400",12,1,47,32,152,524,122,502,89,,
"EA","EA45400",16,,,,192,531,114,,,1,51
"EA","EA45437",12,1,27,32,147,482,72,502,89,,
"EA","EA45437",16,,,,205,491,70,,,1,31
"EA","EA45454",12,1,36,32,149,504,94,502,89,,
"EA","EA45454",16,,,,196,512,93,,,1,41
"EA","EA45476",12,1,42,33,146,514,109,506,92,,
"EA","EA45476",16,,,,194,529,110,,,1,49
"EA","EA45498",12,1,50,42,158,530,122,521,110,,
"EA","EA45498",16,,,,200,531,114,,,1,51
"EA","EA45506",12,1,34,38,148,501,89,514,106,,
