"center","id","visit","NRIA1A","NRIA1B","NRIA1C","NRIA2A","NRIA2B","NRIA2C","NRIA3","NRIA3A","NRIA3B","NRIA3C","NRIA3D","NRIA4A","NRIA4B","NRIA4C","NRIA4D","NRIA4E","NRIA4F","NRIA5A","NRIA5B","NRIA5C","NRIA5D","NRIA5E","NRIA5F","NRIA6A","NRIA6B","NRIA6C","NRIA6D","NRIA6E","NRIA6F","NRIA7A","NRIA7B","NRIA7C","NRIA7D","NRIA7E","NRIA7F","NRIA8A","NRIA8B","NRIA8C","NRIA8D","NRIA8E","NRIA8F","NRIA9A","NRIA9B","NRIA9C","NRIA9D","NRIA9E","NRIA9F","NRIA10A","NRIA10B","NRIA10C","NRIA10D","NRIA10E","NRIA10F","NRIA11A","NRIA11B","NRIA11C","NRIA11D","NRIA11E","NRIA11F","NRIA12A","NRIA12B","NRIA12C","NRIA12D","NRIA12E","NRIA12F","NRIA13A","NRIA13B","NRIA13C","NRIA13D","NRIA13E","NRIA13F","NRIA14A","NRIA14B","NRIA14C","NRIA14D","NRIA14E","NRIA14F","NRIA15A","NRIA15B","NRIA15C","NRIA15D","NRIA15E","NRIA15F"
"MW","MW02073",16,2,4,1,3,4,0,0,,,,,5,,5,,,,3,,3,,,,5,,5,,,,5,,5,,,,4,,4,,,,1,,3,,,,5,,3,,,,5,,4,,,,3,,3,,,,1,,3,,,,5,,5,,,,5,,3,,,
"MW","MW02090",16,3,2,1,3,2,0,0,,,,,4,,4,,,,3,,3,,,,5,,5,,,,5,,5,,,,5,,3,,,,2,,3,,,,5,,3,,,,5,,5,,,,4,,4,,,,3,,3,,,,5,,5,,,,5,,4,,,
"MW","MW02117",16,3,4,0,3,4,0,1,1,3,4,0,3,,2,,3,,1,,1,,1,,4,,4,,5,,5,,1,,1,,3,,3,,3,,1,,1,,1,,4,,1,,1,,5,,5,,5,,3,,3,,3,,1,,2,,1,,5,,5,,5,,1,,1,,1,
"MW","MW02125",16,3,4,1,3,4,1,1,2,3,4,1,,4,,3,,4,,1,,2,,3,,4,,4,,4,,4,,3,,4,,5,,3,,5,,3,,3,,3,,4,,2,,4,,4,,4,,4,,4,,4,,5,,2,,2,,3,,4,,4,,4,,3,,2,,5
"MW","MW02140",16,3,4,1,3,4,1,0,,,,,,5,,5,,,,2,,2,,,,5,,5,,,,2,,2,,,,2,,3,,,,1,,1,,,,1,,2,,,,5,,5,,,,5,,5,,,,5,,1,,,,5,,5,,,,5,,1,,
"MW","MW02158",16,3,4,1,3,2,0,0,,,,,4,,3,,,,3,,3,,,,4,,3,,,,5,,3,,,,5,,3,,,,3,,4,,,,5,,1,,,,5,,3,,,,4,,1,,,,4,,5,,,,5,,4,,,,5,,3,,,
"MW","MW02161",16,3,4,1,3,4,1,0,,,,,3,,4,,,,2,,2,,,,4,,4,,,,4,,4,,,,5,,4,,,,1,,4,,,,4,,2,,,,4,,4,,,,4,,4,,,,4,,4,,,,4,,4,,,,4,,4,,,
"MW","MW02172",16,3,4,1,3,4,1,0,,,,,,4,,3,,,,2,,1,,,,4,,4,,,,4,,3,,,,4,,3,,,,3,,2,,,,4,,3,,,,4,,4,,,,3,,3,,,,2,,1,,,,4,,4,,,,4,,3,,
"MW","MW02186",16,4,4,0,3,4,1,0,,,,,2,,2,,,,2,,2,,,,3,,3,,,,4,,3,,,,2,,5,,,,2,,2,,,,4,,3,,,,4,,4,,,,2,,2,,,,4,,3,,,,3,,2,,,,1,,1,,,
"MW","MW02222",16,3,4,0,3,4,0,1,1,4,4,0,2,,1,,4,,2,,1,,3,,5,,4,,5,,5,,4,,3,,4,,4,,5,,2,,2,,3,,5,,2,,2,,5,,4,,5,,3,,2,,4,,2,,2,,3,,5,,5,,5,,5,,4,,4,
"MW","MW02236",16,3,4,0,,,,0,,,,,4,,,,,,3,,,,,,4,,,,,,4,,,,,,3,,,,,,4,,,,,,5,,,,,,4,,,,,,5,,,,,,3,,,,,,4,,,,,,4,,,,,
"MW","MW02248",16,3,4,1,3,4,1,0,,,,,4,,4,,,,2,,2,,,,5,,5,,,,5,,5,,,,5,,5,,,,3,,3,,,,5,,4,,,,5,,4,,,,5,,5,,,,3,,1,,,,5,,4,,,,3,,3,,,
"MW","MW02269",16,4,4,0,3,4,0,1,1,3,3,0,4,,1,,5,,1,,1,,1,,4,,2,,5,,5,,1,,5,,5,,1,,5,,1,,1,,1,,3,,1,,5,,3,,2,,5,,5,,1,,5,,1,,1,,1,,4,,1,,5,,3,,1,,5,
"MW","MW02275",16,4,4,0,,,,1,1,4,4,0,4,,,,4,,3,,,,1,,5,,,,5,,5,,,,5,,5,,,,3,,5,,,,5,,3,,,,3,,5,,,,5,,5,,,,3,,3,,,,5,,5,,,,5,,5,,,,5,
