"center","id","SSQC11","visit","SSQC1","SSQC2","SSQC3","SSQC4","SSQC5","SSQC6","SSQC7","SSQC8","SSQC9","SSQC10","SSQC12"
"NW","NW32335","AAN",16,5,3,4,5,4,3,3,5,5,5,10/15/2006
"NW","NW32347","AAN",16,5,4,5,5,5,5,4,2,2,3,11/15/2006
"NW","NW32368","MQA",16,5,5,5,5,3,4,5,4,5,5,8/15/2007
"NW","NW32384","MQA",16,4,5,3,5,3,5,5,4,4,5,8/15/2006
"NW","NW32396","MQA",16,3,5,4,5,5,5,5,2,3,4,11/15/2007
"NW","NW32412","MQA",16,5,5,3,5,5,5,5,1,1,5,12/15/2007
"NW","NW32420","AAN",16,2,3,2,2,2,2,,,3,1,6/15/2006
"NW","NW32438","AAN",16,5,5,5,5,5,5,5,5,5,5,2/15/2005
"NW","NW32445","AAN",16,5,4,4,5,3,4,2,2,4,2,5/15/2006
"NW","NW32481","AAN",16,5,5,5,5,3,5,5,5,5,5,8/15/2006
"NW","NW32507","AAN",16,3,5,2,5,3,3,5,4,,5,11/15/2005
"NW","NW32515","MQA",16,4,3,5,5,4,5,3,2,3,1,1/15/2007
"NW","NW32530","MQA",16,4,3,1,4,3,3,3,2,2,3,3/15/2007
"NW","NW32542","MQA",16,4,3,4,4,3,4,5,3,4,3,7/15/2007
"NW","NW32556","AAN",16,5,5,3,5,5,5,5,4,4,4,9/15/2005
"NW","NW32589","MQA",16,4,4,1,5,5,3,5,4,4,5,1/15/2007
"NW","NW32591","AAN",16,4,4,4,4,4,4,4,4,4,4,5/15/2006
"NW","NW32608","AAN",16,5,5,5,5,5,5,5,5,5,5,4/15/2006
"NW","NW32629","MQA",16,4,3,4,5,3,3,4,3,4,3,5/15/2007
"NW","NW32634","MQA",16,4,4,1,4,5,3,5,5,5,5,2/15/2008
"NW","NW32641","MQA",16,5,5,5,5,5,5,5,5,5,5,3/15/2006
"NW","NW32662","AAN",16,3,3,2,5,3,4,5,5,5,5,7/15/2005
"NW","NW32673","AAN",16,4,4,2,4,3,3,3,2,1,2,10/15/2005
"NW","NW32685","MQA",16,4,5,5,5,5,4,4,4,4,4,10/15/2007
"NW","NW32701","AAN",16,3,5,2,4,1,2,1,2,3,1,11/15/2005
"NW","NW32736","MQA",16,4,3,3,5,4,5,4,3,2,3,3/15/2008
"NW","NW32750","MQA",16,4,4,4,4,1,4,4,5,4,4,10/15/2007
"NW","NW32769","MQA",16,5,5,5,5,5,4,5,5,5,5,7/15/2006
"NW","NW32775","MQA",16,4,5,5,5,5,5,5,5,5,5,12/15/2007
"NW","NW32783","MQA",16,3,4,3,5,4,5,5,5,3,3,7/15/2006
"NW","NW32797","MQA",16,4,4,4,4,4,4,5,4,4,4,6/15/2007
"NW","NW32803","MQA",16,3,3,3,4,3,3,5,5,3,3,7/15/2008
"NW","NW32811","MQA",16,1,3,1,5,2,1,2,1,1,,4/15/2008
"NW","NW32824","MQA",16,4,4,4,4,2,3,3,4,2,5,6/15/2008
"NW","NW32846","AAN",16,5,5,5,4,4,3,4,4,2,4,7/15/2005
"NW","NW32867","MQA",16,4,5,5,5,5,4,5,5,4,5,4/15/2007
"NW","NW32878","MQA",16,5,5,3,5,5,5,5,5,5,5,8/15/2008
"NW","NW32895","MQA",16,4,2,1,4,2,3,4,3,3,3,9/15/2007
"NW","NW32906","MQA",16,4,3,2,3,3,3,4,3,2,2,10/15/2007
"NW","NW32919","AAN",16,4,4,5,5,4,5,5,5,4,5,10/15/2006
