"center","id","SSQC11","visit","SSQC1","SSQC2","SSQC3","SSQC4","SSQC5","SSQC6","SSQC7","SSQC8","SSQC9","SSQC10","SSQC12"
"EA","EA43937","MRE",16,5,5,5,5,5,5,5,5,5,5,8/15/2005
"EA","EA43982","MRE",16,2,2,1,2,1,1,1,1,1,1,4/15/2005
"EA","EA44017","MRE",16,1,5,5,5,5,5,5,5,5,5,5/15/2005
"EA","EA44033","LHM",16,5,5,4,5,4,4,5,3,3,4,2/15/2007
"EA","EA44058","DKV",16,4,3,3,4,4,3,3,4,4,4,9/15/2004
"EA","EA44094","JWW",16,5,5,5,5,5,5,5,5,5,5,4/15/2006
"EA","EA44126","JWW",16,5,5,4,5,5,5,5,5,5,5,3/15/2006
"EA","EA44144","MSL",16,5,5,5,5,5,4,4,5,5,4,11/15/2005
"EA","EA44171","NDJ",16,3,3,3,3,4,4,3,5,3,1,7/15/2007
"EA","EA44213","MRE",16,5,5,3,5,5,3,1,3,1,5,7/15/2005
"EA","EA44237","M S",16,5,5,5,5,5,5,5,5,5,4,6/15/2008
"EA","EA44249","NDJ",16,3,4,4,4,4,4,4,4,4,4,6/15/2007
"EA","EA44282","JWW",16,1,1,5,1,3,1,1,3,1,1,5/15/2006
"EA","EA44298","M S",16,4,5,2,5,4,5,5,5,2,4,1/15/2007
"EA","EA44310","LHM",16,5,5,5,5,5,5,5,5,5,5,5/15/2006
"EA","EA44351","JWW",16,4,4,4,4,3,4,3,4,4,3,7/15/2006
"EA","EA44368","JWW",16,,,,,,,,,,,6/15/2006
"EA","EA44396","M S",16,5,5,5,5,4,5,5,5,5,5,1/15/2007
"EA","EA44453","CEW",16,4,5,4,5,3,4,5,4,4,2,1/15/2007
"EA","EA44515","LHM",16,5,5,5,5,5,5,5,4,4,4,2/15/2007
"EA","EA45034","MRE",16,2,2,3,2,5,4,5,3,3,3,10/15/2005
"EA","EA45041","MRE",16,3,4,4,5,4,4,4,4,5,4,11/15/2005
"EA","EA45057","JCM",16,5,5,5,5,5,5,5,5,5,5,6/15/2004
"EA","EA45062","MSL",16,4,4,5,5,5,5,4,4,4,3,9/15/2005
"EA","EA45125","JCM",16,5,4,3,4,3,4,5,5,4,3,5/15/2005
"EA","EA45158","MRE",16,5,5,5,5,5,5,5,5,3,5,11/15/2005
"EA","EA45186","JCM",16,5,3,5,5,5,5,5,5,5,5,6/15/2005
"EA","EA45194","SCH",16,5,5,4,5,5,5,3,5,1,1,4/15/2004
"EA","EA45214","JCM",16,3,4,2,5,4,4,3,5,5,4,11/15/2004
"EA","EA45236","JCM",16,5,5,5,5,5,5,5,5,5,5,8/15/2004
"EA","EA45248","JWW",16,4,4,4,5,5,4,5,5,4,5,6/15/2006
"EA","EA45269","SCH",16,5,5,5,5,5,5,5,5,5,5,6/15/2004
"EA","EA45275","DKV",16,4,1,4,4,4,5,4,1,1,4,8/15/2004
"EA","EA45283","JCM",16,4,5,4,5,5,5,5,3,3,3,9/15/2004
"EA","EA45303","JWW",16,4,4,1,4,4,1,4,4,4,4,9/15/2006
"EA","EA45311","JWW",16,5,3,2,5,5,5,5,5,5,5,7/15/2006
"EA","EA45324","LHM",16,5,5,3,5,5,5,5,5,3,5,9/15/2006
"EA","EA45346","M S",16,5,5,5,5,5,5,5,5,5,5,6/15/2007
"EA","EA45395","JWW",16,5,5,5,5,5,5,5,5,5,5,9/15/2006
"EA","EA45400","JCM",16,5,5,3,5,5,4,2,3,5,1,1/15/2005
"EA","EA45437","M S",16,5,5,5,5,5,5,4,5,5,5,2/15/2008
"EA","EA45454","M S",16,5,4,4,4,4,5,5,5,4,5,6/15/2007
"EA","EA45476","LHM",16,5,5,5,5,5,5,5,5,1,5,8/15/2006
"EA","EA45498","LHM",16,4,5,5,5,5,5,5,5,5,5,12/15/2006
"EA","EA45506","LHM",16,5,5,5,5,5,5,5,5,5,5,8/15/2006
"EA","EA45527","NDJ",16,5,5,5,5,5,5,5,5,5,5,6/15/2007
"EA","EA45531","M S",16,1,1,1,1,1,1,1,1,3,1,4/15/2008
"EA","EA45588","M S",16,5,4,3,4,5,5,1,5,5,5,6/15/2007
"EA","EA45628","LHM",16,1,3,3,5,3,3,5,3,3,3,10/15/2006
"EA","EA45630","LHM",16,4,4,3,5,4,4,5,3,3,3,1/15/2007
"EA","EA45642","CEW",16,5,1,1,3,3,3,5,1,2,3,4/15/2006
"EA","EA45663","JWW",16,5,5,5,5,5,5,5,5,5,5,10/15/2006
"EA","EA45674","LHM",16,3,3,4,5,4,4,4,3,4,4,10/15/2006
"EA","EA45689","M S",16,5,1,5,5,4,5,5,5,1,5,7/15/2007
"EA","EA45751","NDJ",16,5,5,5,5,5,3,5,5,5,5,7/15/2007
"EA","EA45812","CEW",16,2,5,5,5,5,5,5,5,1,3,8/15/2008
"EA","EA45866","CEW",16,4,4,5,4,4,4,4,4,5,5,2/15/2008
"EA","EA45899","NDJ",16,5,5,3,5,5,5,5,3,1,5,6/15/2007
"EA","EA45918","JWW",16,3,4,4,4,4,4,4,4,4,4,9/15/2006
"MW","MW00013","SND",16,5,5,3,5,5,5,5,5,2,5,12/15/2006
"MW","MW00136","RRJ",16,4,4,4,4,3,3,2,4,3,4,4/15/2011
"MW","MW00148","SIR",16,4,4,4,4,4,5,5,4,4,4,6/15/2010
"MW","MW00150","RRJ",16,5,5,3,5,5,4,5,5,3,5,4/15/2007
"MW","MW00169","RRJ",16,5,5,3,5,5,5,5,5,3,5,3/15/2010
"MW","MW00175","RRJ",16,5,5,4,5,5,5,5,5,5,5,1/15/2007
"MW","MW00183","RRJ",16,5,5,5,5,4,4,5,5,5,5,8/15/2007
"MW","MW00197","JAM",16,5,5,5,5,5,5,5,5,4,5,2/15/2008
"MW","MW00217","RRJ",16,4,5,5,5,3,4,5,5,5,5,12/15/2006
"MW","MW00225","JAM",16,4,3,3,4,2,3,5,3,3,4,4/15/2008
"MW","MW00258","RRJ",16,5,4,5,5,5,5,5,4,4,4,6/15/2007
"MW","MW00272","RRJ",16,4,4,5,4,3,4,4,3,4,3,12/15/2006
"MW","MW00286","AAO",16,4,4,4,4,4,5,5,3,3,4,6/15/2007
"MW","MW00306","RRJ",16,5,2,1,4,2,2,1,1,3,5,10/15/2007
"MW","MW00319","JAM",16,5,5,5,5,5,5,5,5,5,5,10/15/2007
"MW","MW00327","SIR",16,5,5,5,5,5,5,5,5,5,5,10/15/2007
"MW","MW00331","RRJ",16,5,5,5,5,5,5,5,5,2,5,10/15/2007
"MW","MW00355","AAO",16,2,3,1,3,2,1,5,3,4,4,6/15/2007
"MW","MW00364","RRJ",16,5,5,4,5,5,4,5,5,5,5,12/15/2009
"MW","MW00370","RRJ",16,4,5,5,5,5,5,5,4,4,5,4/15/2010
"MW","MW00388","RRJ",16,5,5,5,5,5,5,3,5,5,5,7/15/2008
"MW","MW00392","RRJ",16,3,5,5,5,4,5,5,5,3,3,10/15/2007
"MW","MW00408","RRJ",16,3,4,4,3,3,3,2,2,2,2,12/15/2007
"MW","MW00416","RRJ",16,4,5,5,5,5,5,5,5,5,5,12/15/2007
"MW","MW00429","RRJ",16,5,5,5,5,5,5,5,5,3,4,5/15/2007
"MW","MW00462","TRW",16,5,5,5,5,3,5,5,5,3,3,1/15/2007
"MW","MW00473","RRJ",16,4,4,4,4,4,4,4,3,3,3,12/15/2007
"MW","MW00485","RRJ",16,4,4,4,4,4,4,4,3,3,3,12/15/2007
"MW","MW00503","RRJ",16,5,5,3,3,1,3,2,4,5,5,6/15/2010
"MW","MW00511","RRJ",16,5,4,5,5,4,5,5,5,5,5,5/15/2011
"MW","MW00524","RRJ",16,5,5,5,5,5,5,5,5,5,5,7/15/2010
"MW","MW00539","AAO",16,4,5,3,4,5,5,5,5,5,5,6/15/2007
"MW","MW00546","SIR",16,5,5,5,5,5,5,3,5,4,3,2/15/2008
"MW","MW00552","RRJ",16,5,5,5,5,5,5,3,4,5,5,3/15/2008
"MW","MW00567","TRW",16,3,1,2,4,2,3,3,4,4,4,4/15/2007
"MW","MW00578","TRW",16,4,2,2,4,2,2,3,4,5,4,4/15/2007
"MW","MW00580","RRJ",16,4,5,5,5,5,5,3,4,4,5,10/15/2007
"MW","MW00595","RRJ",16,4,5,5,5,3,5,5,5,5,4,7/15/2007
"MW","MW00604","SIR",16,5,5,5,5,5,5,5,5,5,5,11/15/2007
"MW","MW00612","RRJ",16,3,2,5,4,3,3,5,4,5,3,12/15/2007
"MW","MW00638","RRJ",16,5,3,4,4,2,4,4,4,4,5,12/15/2006
"MW","MW00645","JAM",16,3,4,3,5,4,4,5,3,1,4,11/15/2007
"MW","MW00653","RRJ",16,3,4,2,3,3,3,2,2,2,3,7/15/2007
"MW","MW00677","TRW",16,5,4,5,4,1,3,1,5,1,2,8/15/2007
"MW","MW00681","AAO",16,5,5,3,,5,5,4,5,3,5,6/15/2007
"MW","MW00699","TRW",16,3,4,5,4,5,5,2,4,1,1,9/15/2007
"MW","MW00718","RRJ",16,5,5,5,5,5,5,5,5,5,4,12/15/2007
"MW","MW00726","RRJ",16,4,4,3,5,3,4,3,3,3,3,12/15/2007
"MW","MW00744","RRJ",16,3,2,3,2,3,3,1,3,2,1,9/15/2010
"MW","MW00771","RRJ",16,4,4,4,4,4,4,5,5,2,3,8/15/2009
"MW","MW00807","RRJ",16,2,2,1,4,2,2,5,4,1,1,9/15/2010
"MW","MW00828","TRW",16,3,5,3,5,3,3,3,3,4,5,2/15/2008
"MW","MW00830","RRJ",16,4,3,1,3,5,4,2,2,3,1,12/15/2006
"MW","MW00856","JAM",16,3,2,4,3,4,4,1,3,2,4,3/15/2008
"MW","MW00863","SIR",16,4,4,4,5,4,3,3,4,3,3,12/15/2007
"MW","MW00874","RRJ",16,3,3,3,5,3,3,3,3,1,3,4/15/2009
"MW","MW00889","SIR",16,5,2,2,5,5,1,2,5,5,5,6/15/2008
"MW","MW00891","SIR",16,5,5,5,5,5,5,5,5,5,5,3/15/2008
"MW","MW00947","RRJ",16,5,5,4,5,4,4,4,5,3,4,11/15/2007
"MW","MW00951","RRJ",16,5,5,3,5,5,4,4,5,3,5,3/15/2008
"MW","MW00968","RRJ",16,4,4,2,5,3,4,4,4,1,5,11/15/2007
"MW","MW00979","RRJ",16,3,3,2,3,2,2,4,4,4,4,5/15/2011
"MW","MW01017","RRJ",16,5,5,4,5,4,4,5,4,4,4,9/15/2008
"MW","MW01033","SIR",16,5,5,5,5,5,3,5,5,3,3,4/15/2009
"MW","MW01040","RRJ",16,4,2,3,3,3,4,4,3,3,3,9/15/2010
"MW","MW01061","RRJ",16,5,4,3,5,4,4,3,4,5,5,6/15/2010
"MW","MW01086","SIR",16,5,5,4,5,5,5,5,5,4,5,7/15/2008
"MW","MW01094","SIR",16,5,5,1,5,4,5,5,5,4,5,6/15/2008
"MW","MW01126","SIR",16,5,5,4,4,3,3,3,2,3,2,5/15/2010
"MW","MW01144","RRJ",16,1,1,2,1,1,2,5,1,5,5,6/15/2008
"MW","MW01160","JAM",16,5,4,5,5,3,4,3,2,5,1,5/15/2008
"MW","MW01171","JAM",16,5,5,4,5,5,5,5,5,5,5,9/15/2007
"MW","MW01193","SIR",16,3,1,4,3,4,3,5,5,3,2,9/15/2008
"MW","MW01200","TRW",16,4,4,4,4,4,4,4,4,4,4,12/15/2007
"MW","MW01249","SIR",16,5,5,5,5,5,5,5,5,5,5,6/15/2008
"MW","MW01276","RRJ",16,3,3,4,4,3,3,3,4,4,3,11/15/2007
"MW","MW01302","RRJ",16,5,5,3,5,5,5,5,5,5,5,4/15/2008
"MW","MW01323","SIR",16,5,5,5,5,5,5,5,5,5,5,8/15/2008
"MW","MW01335","RRJ",16,5,5,4,5,3,1,1,3,5,5,4/15/2008
"MW","MW01347","RRJ",16,5,3,5,5,5,4,5,5,5,2,10/15/2008
"MW","MW01351","TRW",16,5,5,1,5,5,5,5,5,5,5,3/15/2008
"MW","MW01396","SIR",16,1,1,5,5,3,5,5,5,5,3,4/15/2008
"MW","MW01404","SIR",16,3,5,3,5,3,3,5,5,5,5,12/15/2008
"MW","MW01420","SIR",16,3,1,1,5,3,1,1,3,3,1,6/15/2008
"MW","MW01438","RRJ",16,5,5,3,5,3,4,4,4,3,5,8/15/2008
"MW","MW01466","SIR",16,4,4,3,3,3,5,5,4,3,3,3/15/2008
"MW","MW01528","RRJ",16,5,4,1,4,4,4,5,4,4,5,2/15/2009
"MW","MW01542","SIR",16,5,5,1,5,5,5,5,5,5,5,3/15/2009
"MW","MW01591","RRJ",16,5,5,5,5,5,5,5,5,3,5,9/15/2009
"MW","MW01608","SIR",16,4,4,3,5,4,4,5,5,5,5,5/15/2008
"MW","MW01629","RRJ",16,3,1,1,2,1,1,1,3,3,3,11/15/2008
"MW","MW01634","RRJ",16,5,5,5,5,5,5,4,4,5,4,8/15/2010
"MW","MW01657","RRJ",16,5,5,2,5,5,5,5,5,5,5,11/15/2008
"MW","MW01673","TRW",16,5,2,2,3,5,5,5,5,5,5,6/15/2007
"MW","MW01685","TRW",16,4,5,2,3,1,1,5,2,1,3,2/15/2008
"MW","MW01690","SIR",16,5,3,3,4,2,3,3,3,3,2,11/15/2008
"MW","MW01701","RRJ",16,1,5,1,5,5,5,5,5,5,3,9/15/2008
"MW","MW01736","RRJ",16,4,2,4,3,4,4,4,5,5,4,10/15/2010
"MW","MW01750","RRJ",16,4,2,3,3,2,4,4,3,2,3,6/15/2011
"MW","MW01769","SIR",16,5,5,5,5,5,5,5,5,5,5,12/15/2008
"MW","MW01775","TRW",16,5,3,3,5,4,4,3,4,3,5,12/15/2007
"MW","MW01803","SIR",16,5,2,2,3,4,2,5,2,2,4,3/15/2009
"MW","MW01824","SIR",16,5,5,5,5,5,5,5,5,5,5,2/15/2009
"MW","MW01846","SIR",16,4,5,5,5,4,5,5,5,3,3,7/15/2008
"MW","MW01852","RRJ",16,5,5,5,5,5,5,5,5,1,5,3/15/2009
"MW","MW01867","RRJ",16,3,2,1,3,2,3,3,3,3,1,5/15/2010
"MW","MW01895","RRJ",16,5,5,4,5,5,5,4,5,4,5,2/15/2009
"MW","MW01906","RRJ",16,4,4,3,4,5,3,3,4,3,4,12/15/2008
"MW","MW01927","RRJ",16,3,4,4,4,3,4,4,4,4,3,8/15/2008
"MW","MW01943","RRJ",16,2,4,1,4,3,4,5,4,3,3,5/15/2009
"MW","MW01970","SIE",16,3,3,3,3,3,3,5,3,3,3,11/15/2008
"MW","MW01992","RRJ",16,5,5,4,4,4,4,3,3,4,2,11/15/2008
"MW","MW02008","RRJ",16,3,3,5,5,4,5,5,2,1,1,6/15/2008
"MW","MW02016","RRJ",16,5,4,5,5,5,4,5,5,3,5,2/15/2009
"MW","MW02041","TRW",16,5,4,3,4,4,4,2,3,3,3,3/15/2008
"MW","MW02057","RRJ",16,5,5,5,5,5,4,3,5,5,5,4/15/2009
"MW","MW02073","SIR",16,2,2,1,2,2,5,5,2,5,2,5/15/2010
"MW","MW02090","RRJ",16,4,4,2,5,3,3,4,4,4,5,10/15/2008
"MW","MW02117","RRJ",16,4,5,5,5,5,5,5,5,1,2,6/15/2009
"MW","MW02125","RRJ",16,4,5,3,5,5,4,5,5,5,4,7/15/2009
"MW","MW02140","RRJ",16,3,2,1,4,2,3,2,1,3,3,6/15/2009
"MW","MW02158","RRJ",16,5,5,5,5,5,5,5,5,5,5,3/15/2009
"MW","MW02161","JAM",16,4,4,4,4,4,4,4,4,3,4,12/15/2007
"MW","MW02172","RRJ",16,3,4,4,4,3,4,4,4,3,3,9/15/2009
"MW","MW02186","SIR",16,3,3,3,3,3,3,3,3,3,3,7/15/2008
"MW","MW02222","RRJ",16,5,5,5,5,5,5,4,5,5,5,5/15/2008
"MW","MW02236","RRJ",16,5,5,5,5,5,5,3,5,5,5,9/15/2009
"MW","MW02248","SIR",16,3,3,3,3,3,3,3,3,3,3,9/15/2009
"MW","MW02269","RRJ",16,3,5,5,5,5,5,5,5,5,5,4/15/2008
"MW","MW02275","RRJ",16,5,5,5,5,5,5,5,5,5,5,7/15/2009
"MW","MW02283","RRJ",16,4,4,4,5,4,4,3,3,4,4,10/15/2009
"MW","MW02311","RRJ",16,5,5,5,5,5,5,5,5,5,5,3/15/2009
"MW","MW02324","SIR",16,5,5,1,5,1,4,1,1,3,4,7/15/2009
"MW","MW02339","SIR",16,5,5,5,5,5,5,5,5,5,5,10/15/2009
"MW","MW02367","SIR",16,1,1,1,3,1,3,3,1,1,3,9/15/2009
"MW","MW02378","RRJ",16,4,5,5,5,3,4,5,5,3,4,6/15/2009
"MW","MW02380","RRJ",16,4,5,5,5,5,5,5,4,5,5,10/15/2009
"MW","MW02400","RRJ",16,1,2,5,5,5,4,2,3,1,2,3/15/2008
"MW","MW02465","SIR",16,3,3,3,3,3,5,3,3,3,3,4/15/2009
"MW","MW02476","RRJ",16,4,4,4,4,4,4,4,4,4,4,1/15/2010
"MW","MW02482","RRJ",16,4,2,2,3,2,3,4,3,4,2,4/15/2010
"MW","MW02531","RRJ",16,5,4,5,5,5,5,5,5,5,4,8/15/2009
"MW","MW02543","RRJ",16,5,5,5,5,5,5,5,5,5,5,4/15/2009
"MW","MW02570","SIR",16,5,5,5,5,5,5,5,5,5,5,10/15/2009
"MW","MW02592","RRJ",16,3,4,2,4,3,3,3,3,2,3,3/15/2009
"MW","MW02615","SIR",16,5,5,5,5,5,5,5,5,5,5,4/15/2009
"MW","MW02663","JAM",16,3,2,2,3,2,2,3,3,1,1,4/15/2008
"MW","MW02674","SIR",16,2,3,4,4,4,4,4,4,3,4,12/15/2009
"MW","MW02689","RRJ",16,4,2,1,5,2,4,5,5,5,5,3/15/2008
"MW","MW02702","RRJ",16,4,4,3,3,2,3,3,3,3,3,8/15/2009
"MW","MW02710","RRJ",16,3,1,1,3,1,1,1,3,1,1,12/15/2009
"MW","MW02723","RRJ",16,4,4,4,4,5,5,5,5,4,4,2/15/2009
"MW","MW02735","RRJ",16,5,5,5,5,5,5,5,5,5,5,1/15/2011
"MW","MW02751","RRJ",16,4,4,5,5,4,5,3,3,5,4,7/15/2008
"MW","MW02768","RRJ",16,5,4,4,5,5,4,5,5,5,5,3/15/2010
"MW","MW02779","RRJ",16,5,5,5,5,5,5,5,5,4,5,11/15/2009
"MW","MW02784","RRJ",16,5,5,4,4,4,4,3,4,5,5,10/15/2009
"MW","MW02796","RRJ",16,5,5,5,5,5,5,5,5,5,5,4/15/2010
"MW","MW02804","RRJ",16,3,5,3,5,3,3,3,3,3,3,6/15/2010
"MW","MW02812","SIR",16,5,5,3,5,5,5,5,5,3,3,5/15/2010
"MW","MW02838","SIR",16,4,4,4,4,4,4,4,4,4,4,9/15/2008
"MW","MW02845","SIR",16,3,3,3,3,3,3,3,3,5,3,5/15/2010
"MW","MW02853","RRJ",16,4,5,4,5,5,5,5,5,5,5,12/15/2009
"MW","MW02866","RRJ",16,5,4,3,4,4,5,4,4,5,4,3/15/2011
"MW","MW02877","RRJ",16,3,5,4,5,5,5,3,4,4,1,1/15/2010
"MW","MW02881","RRJ",16,4,3,1,2,1,3,3,3,3,3,10/15/2009
"MW","MW02899","RRJ",16,3,4,1,,1,5,1,1,1,5,12/15/2009
"MW","MW02905","RRJ",16,5,5,4,5,4,5,4,5,4,5,4/15/2010
"MW","MW02926","SIR",16,5,5,4,5,5,4,5,5,3,3,10/15/2009
"MW","MW02932","RRJ",16,5,3,5,5,4,3,3,3,3,3,9/15/2008
"MW","MW02959","RRJ",16,5,5,5,5,5,5,5,5,5,5,6/15/2010
"MW","MW02960","RRJ",16,5,5,5,5,5,5,5,5,5,5,6/15/2010
"MW","MW02971","SIR",16,5,5,5,5,5,5,5,5,5,5,6/15/2009
"MW","MW02987","RRJ",16,4,5,5,5,4,5,3,3,3,4,6/15/2010
"MW","MW02993","SIR",16,5,4,3,5,4,4,4,4,5,3,1/15/2010
"MW","MW03005","SIR",16,4,3,1,4,3,3,4,3,2,2,10/15/2008
"MW","MW03026","RRJ",16,5,5,5,5,5,5,5,5,3,5,4/15/2009
"MW","MW03032","RRJ",16,4,5,5,5,5,5,5,5,5,5,7/15/2010
"MW","MW03044","RRJ",16,5,3,3,5,1,3,2,4,2,1,6/15/2010
"MW","MW03060","RRJ",16,3,3,1,5,3,3,1,1,1,1,3/15/2009
"MW","MW03071","RRJ",16,5,4,5,5,5,5,4,4,5,4,10/15/2009
"MW","MW03093","RRJ",16,4,4,4,4,4,4,4,4,4,4,5/15/2011
"MW","MW03119","RRJ",16,4,5,5,4,2,3,5,1,2,4,4/15/2011
"MW","MW03127","RRJ",16,5,4,4,5,3,2,3,3,5,3,6/15/2011
"MW","MW03131","RRJ",16,5,5,5,4,4,4,4,4,3,4,12/15/2010
"MW","MW03155","RRJ",16,3,2,1,2,2,3,3,3,4,4,11/15/2010
"MW","MW03170","RRJ",16,5,5,4,5,3,3,5,5,5,5,6/15/2011
"MW","MW03188","RRJ",16,3,4,5,5,4,5,5,5,5,5,4/15/2011
"MW","MW03192","RRJ",16,5,5,3,5,3,3,2,5,5,5,4/15/2011
"MW","MW03204","RRJ",16,1,1,1,2,2,1,5,4,1,1,9/15/2011
"MW","MW03212","RRJ",16,5,4,4,4,4,4,4,5,5,5,7/15/2011
"MW","MW03220","RRJ",16,3,3,1,3,3,3,5,4,2,1,2/15/2010
"MW","MW03245","RRJ",16,2,2,1,5,5,2,1,4,4,4,12/15/2010
"MW","MW03253","RRJ",16,4,5,3,4,5,4,4,4,3,3,8/15/2011
"NW","NW30020","AAN",16,4,4,5,4,4,4,4,4,5,4,5/15/2005
"NW","NW30045","MQA",16,4,2,2,4,5,3,1,1,1,3,6/15/2007
"NW","NW30053","MQA",16,4,2,2,3,2,2,2,3,1,3,6/15/2005
"NW","NW30066","AAN",16,4,4,4,4,5,5,5,4,5,4,2/15/2005
"NW","NW30077","AAN",16,5,5,3,4,4,4,5,4,5,5,11/15/2004
"NW","NW30081","MQA",16,3,1,3,3,3,3,2,1,3,3,2/15/2006
"NW","NW30099","MQA",16,5,3,5,5,3,5,1,5,1,5,3/15/2005
"NW","NW30137","MQA",16,4,2,2,4,3,2,4,4,3,4,5/15/2007
"NW","NW30149","MQA",16,3,5,4,5,3,5,5,3,1,4,4/15/2007
"NW","NW30154","AAN",16,4,5,4,5,4,3,5,4,4,5,8/15/2005
"NW","NW30182","AAN",16,1,4,1,5,5,5,5,4,1,5,2/15/2006
"NW","NW30198","MQA",16,3,3,3,3,3,3,3,1,1,1,7/15/2007
"NW","NW30205","AAN",16,1,1,2,1,1,1,1,1,3,1,10/15/2005
"NW","NW30218","MQA",16,4,3,4,4,3,4,1,5,4,3,7/15/2007
"NW","NW30226","AAN",16,5,5,4,5,4,5,5,5,4,5,2/15/2005
"NW","NW30232","MQA",16,4,4,3,4,4,4,4,3,3,4,7/15/2008
"NW","NW30244","AAN",16,5,5,3,4,4,3,5,5,3,4,5/15/2005
"NW","NW30260","AAN",16,4,3,3,5,4,4,3,5,5,4,4/15/2005
"NW","NW30271","AAN",16,2,3,4,4,3,2,2,5,5,5,11/15/2005
"NW","NW30293","AAN",16,1,5,1,3,1,3,3,1,1,2,10/15/2004
"NW","NW30315","MQA",16,5,5,5,5,5,5,5,5,5,5,12/15/2007
"NW","NW30330","AAN",16,4,5,3,5,5,3,5,3,3,4,7/15/2004
"NW","NW30363","AAN",16,5,5,2,5,5,5,5,5,5,5,10/15/2005
"NW","NW30374","MQA",16,5,5,5,5,5,5,5,4,2,4,7/15/2004
"NW","NW30389","MQA",16,4,3,3,4,3,3,4,5,4,4,5/15/2007
"NW","NW30391","MQA",16,4,5,3,4,4,5,4,4,3,3,7/15/2004
"NW","NW30409","AAN",16,3,2,4,4,4,4,5,4,3,3,12/15/2004
"NW","NW30417","MQA",16,3,5,5,4,5,5,5,5,2,5,9/15/2006
"NW","NW30425","AAN",16,5,4,1,3,4,4,5,3,2,4,9/15/2005
"NW","NW30433","AAN",16,4,5,5,5,5,5,5,3,2,2,6/15/2006
"NW","NW30461","MQA",16,5,5,4,4,5,4,5,4,4,5,5/15/2008
"NW","NW30486","AAN",16,1,2,1,1,1,1,2,1,2,1,8/15/2005
"NW","NW30502","MQA",16,5,5,5,5,5,5,5,5,5,5,7/15/2006
"NW","NW30523","MQA",16,5,5,5,5,5,5,5,5,5,5,10/15/2007
"NW","NW30535","MQA",16,5,5,5,4,4,4,4,5,4,4,7/15/2008
"NW","NW30547","AAN",16,,,,,,,,,,,4/15/2006
"NW","NW30551","AAN",16,5,3,3,5,3,4,3,4,3,4,12/15/2006
"NW","NW30568","AAN",16,3,5,2,4,5,5,5,4,4,4,9/15/2004
"NW","NW30579","AAN",16,5,4,2,4,5,4,4,4,3,2,7/15/2005
"NW","NW30584","MQA",16,4,3,3,2,2,2,2,2,2,3,7/15/2008
"NW","NW30596","AAN",16,4,3,5,4,3,3,1,4,3,5,10/15/2006
"NW","NW30603","MQA",16,4,5,2,4,5,5,5,3,2,4,1/15/2007
"NW","NW30611","AAN",16,5,5,4,5,5,5,5,5,5,5,10/15/2006
"NW","NW30624","AAN",16,5,5,4,5,5,5,5,5,5,5,10/15/2006
"NW","NW30639","MQA",16,4,5,4,5,5,5,,4,2,5,10/15/2007
"NW","NW30646","MQA",16,3,4,3,5,3,3,5,4,4,4,4/15/2007
"NW","NW30652","AAN",16,4,4,4,4,4,4,4,4,3,4,11/15/2005
"NW","NW30667","MQA",16,5,4,5,5,4,5,5,2,4,4,11/15/2007
"NW","NW30678","AAN",16,4,2,3,3,3,3,3,2,2,2,10/15/2005
"NW","NW30680","MQA",16,5,4,4,4,4,4,4,3,2,3,10/15/2007
"NW","NW30706","MQA",16,5,4,4,5,5,5,3,4,5,5,5/15/2008
"NW","NW30719","MQA",16,4,4,1,3,5,3,5,5,5,5,2/15/2007
"NW","NW30727","AAN",16,3,2,2,3,5,3,5,4,5,4,12/15/2005
"NW","NW30731","MQA",16,4,4,4,4,4,4,4,3,1,4,3/15/2008
"NW","NW30743","AAN",16,5,2,2,4,4,4,4,3,2,2,10/15/2004
"NW","NW30764","MQA",16,4,2,2,2,2,3,,3,3,2,12/15/2004
"NW","NW30770","MQA",16,4,5,4,5,5,5,5,5,4,5,8/15/2007
"NW","NW30788","AAN",16,3,5,3,5,5,5,5,2,2,5,3/15/2005
"NW","NW30808","AAN",16,5,5,3,5,5,4,5,5,5,5,1/15/2007
"NW","NW30816","AAN",16,5,5,3,5,5,5,5,5,5,5,5/15/2006
"NW","NW30829","MQA",16,5,3,4,5,5,4,5,5,3,3,10/15/2007
"NW","NW30873","MQA",16,1,2,2,3,2,2,5,1,1,1,3/15/2008
"NW","NW30885","MQA",16,5,4,3,5,3,5,5,5,4,5,6/15/2007
"NW","NW30922","MQA",16,5,5,5,5,4,5,5,5,5,5,10/15/2006
"NW","NW30936","AAN",16,4,4,2,4,4,4,4,4,4,4,1/15/2007
"NW","NW30948","MQA",16,3,4,2,5,3,5,4,5,5,1,4/15/2008
"NW","NW30950","MQA",16,4,5,3,4,4,4,4,4,2,2,6/15/2007
"NW","NW30969","AAN",16,5,4,4,5,5,5,5,3,5,4,5/15/2006
"NW","NW31018","AAN",16,5,5,5,5,5,5,5,5,5,5,8/15/2004
"NW","NW31032","AAN",16,4,2,3,3,4,4,5,2,3,4,8/15/2006
"NW","NW31044","AAN",16,4,4,4,5,4,4,4,4,3,4,6/15/2004
"NW","NW31060","AAN",16,4,3,2,3,3,3,4,3,1,3,4/15/2005
"NW","NW31071","MQA",16,5,5,5,5,4,4,5,4,4,5,8/15/2008
"NW","NW31087","MQA",16,5,5,5,5,4,5,5,5,4,5,8/15/2008
"NW","NW31106","AAN",16,5,3,4,5,4,5,4,5,5,5,7/15/2005
"NW","NW31119","AAN",16,2,4,1,3,5,5,2,1,1,1,10/15/2004
