EA44213EA40   0   0   0   0   0NFM15-Jun-1993
EA44221EA40   0   0   0   0   0KJF15-Feb-1995
EA44237EA4                150  DNG15-Sep-1995
EA44249EA40   0   0   0   0   3BST15-Oct-1995
EA44254EA40   13100   0   110 1ADS15-Dec-1994
EA44265EA40   0   0   0   0   0LM 15-Apr-1993
EA44282EA40   0   0   0   150 0ADS15-May-1994
EA44298EA40   0   0   0   0   0BAR15-Oct-1994
EA44310EA40   0   0   0   0   1AB 15-Apr-1993
EA44351EA40   0   0   0   110 0BST15-Feb-1994
EA44368EA40   11100   0   0   3ADS15-Mar-1994
EA44379EA40   0   0   0   0   3ADS15-Sep-1993
EA44396EA40   0   0   0   0   0BAR15-Oct-1994
EA44404EA40   0   0   0   0   0NG 15-Nov-1994
EA44453EA40   0   0   0   0   0ADS15-Sep-1994
EA44481EA40   0   0   0   150 0ADS15-Jan-1995
EA44515EA40   0   0   0   0   0BST15-Jul-1994
EA44528EA40   0   0   0   0   0BAR15-Aug-1994
EA45034EA40   0   0   0   0   0BST15-Dec-1993
EA45041EA40   0   0   15110   2LMM15-Aug-1994
EA45057EA40   0   0   0   0   2TUP15-Sep-1992
EA45062EA40   0   0   0   0   6BST15-Oct-1993
EA45073EA40   0   0   0   110 1ADS15-Jan-1993
EA45085EA40   0   0   0   0   0ADS15-Jun-1994
EA45125EA40   0   0   0   0   0DSY15-Sep-1992
EA45133EA40   0   0   0   0   0ADS15-Apr-1993
EA45158EA40   0   0   0   0   1ADS15-Sep-1993
EA45172EA40   15100   0   0    BST15-Jun-1993
EA45186EA40   0   0   0   0   1ADS15-Apr-1993
EA45201EA40   0   0   0   0   1BST15-Aug-1993
EA45236EA40   0   0   0   110 0AB 15-Dec-1992
EA45250EA40   0   0   0   0   0ADS15-Dec-1992
EA45269EA40   0   0   0   0   0LM 15-Dec-1992
EA45275EA40   0   0   0   0   1DSY15-Sep-1992
EA45283EA40   0   0   0   0   0DSY15-Sep-1992
EA45303EA40   0   0   0   111 3ADS15-Mar-1994
EA45311EA41110110 0   0   0   0BAR15-Apr-1994
EA45324EA40   0   0   0   0    LOT15-Sep-1994
EA45346EA40   0   0   0   0   1ADS15-Oct-1994
EA45378EA4111011100   0   0   3ADS15-May-1994
EA45395EA40   0   0   0   0   2BAR15-Sep-1994
EA45400EA40   0   0   0   110 0ADS15-Jan-1993
EA45437EA40   0   0   0   0   0ADS15-Dec-1994
EA45454EA40   0   0   0   0   0ADS15-Feb-1995
EA45476EA40   0   0   0   0   0ADS15-Aug-1994
EA45498EA40   0   0   0   0   1ADS15-Jul-1994
EA45506EA40   0   0   0   0   0BAR15-Dec-1994
EA45527EA40   0   0   0   0   1B B15-Sep-1995
EA45531EA40   11100   0   0   4DNG15-Feb-1995
EA45555EA40   0   0   0   0   1BAR15-Dec-1994
EA45570EA40   0   0   0   0   0NFM15-Apr-1994
EA45588EA40   0   0   0   0   5BAR15-Jun-1995
EA45592EA40   0   0   0   0   0BAR15-Feb-1994
EA45607EA40   0   0   0   110 0BAR15-Dec-1994
EA45628EA40   0   0   0   0   1BST15-Apr-1994
EA45630EA40   0   0   0   0   0ADS15-May-1994
EA45663EA40   0   0   0   0   0ADS15-Jun-1994
EA45674EA40   0   0   0   0   1NJF15-May-1995
EA45702EA40   0   0   0   0   0BST15-Feb-1995
EA45747EA40   0   0   0   0   1JBH15-Oct-1994
EA45751EA40   0   0   0   0   0NJF15-Apr-1995
EA45768EA40   11100   0   0   0KJF15-Dec-1994
EA45796EA40   0   0   0   0   0ADS15-Oct-1994
EA45804EA40   0   0   0   0   0BST15-Jul-1994
EA45812EA40   0   0   0   0   4JRB15-Nov-1995
EA45820EA40   0   0   0   0   0NLG15-Sep-1995
EA45845EA40   0   0   0   0   0BST15-Apr-1995
EA45866EA40   0   0   0   0   0DNG15-Oct-1995
EA45881EA40   0   0   0   0   0KJF15-Dec-1994
EA45932EA411110   0   0   0   2BST15-Mar-1995
EA45944EA40   0   0   0   0   0DNG15-Feb-1996
EA45987EA40   0   0   0   0   0B B15-Nov-1995
MW00013MW10   0   0   0   0   0KSM15-Jun-1991
MW00013MW40   0   0   0   0   1HLA15-Mar-1996
MW00049MW40   0   0   0   0   0JBH15-Feb-1998
MW00065MW10   0   0   0   0   2KSM15-Nov-1991
MW00065MW40   110 0   0   0   4AB 15-Dec-1995
MW00136MW10   0   0   0   0   0AB 15-Jul-1995
MW00136MW40   0   0   0   0   0KS 15-Sep-1999
MW00148MW10   0   110 0   0   0AB 15-Nov-1994
MW00148MW40   0   0   0   0   0RRJ15-Jun-1998
MW00150MW10   0   0   0   0   0KSM15-Mar-1992
MW00150MW40   0   0   0   0   2HLA15-Mar-1996
MW00169MW10   0   0   0   0   1AB 15-Nov-1994
MW00169MW40   0   0   0   0   0RRJ15-Jun-1999
MW00175MW10   0   0   0   0   0KSM15-Mar-1992
MW00175MW40   0   0   0   0   0HLA15-Apr-1996
MW00183MW10   0   0   0   0   0KSM15-Apr-1992
MW00183MW40   0   0   0   0   1HLA15-Jan-1996
MW00197MW40   0   0   0   0   0HLA15-Apr-1996
MW00217MW10   0   0   0   0   0KSM15-Apr-1992
MW00217MW40   0   0   0   0   0KMD15-Apr-1994
MW00225MW10   0   0   0   0   0KSM15-Apr-1992
MW00225MW40   0   0   0   0   4HLA15-Jul-1997
MW00233MW10   0   0   0   0   0KSM15-Apr-1992
MW00233MW40   0   0   0   0   0MRP15-Dec-1997
MW00258MW10   0   0   0   0   4KSM15-Jun-1992
MW00258MW40   0   0   0   150 1RRJ15-Jan-1997
MW00272MW10   0   0   0   0   0KSM15-Apr-1992
MW00272MW40   0   0   0   0   0HLA15-Apr-1996
MW00286MW10   0   0   0   0   0KSM15-Apr-1992
MW00286MW40   0   0   0   0   0HLA15-Oct-1997
MW00306MW10   11100   0   0   0KAM15-May-1992
MW00306MW40   0   0   0   0   0RRJ15-Nov-1995
MW00319MW40   0   0   0   0  18RRJ15-Mar-1997
MW00327MW10   0   0   0   0   1KSM15-Jun-1992
MW00327MW40   0   13100   0   2AB 15-May-1996
MW00331MW10   0   0   0   0   0KSM15-Aug-1992
MW00331MW40   0   0   0   0   0HLA15-Feb-1996
MW00355MW10   0   0   0   0   0KSM15-May-1992
MW00355MW40   0   0   0   0   0RRJ15-Apr-1997
MW00364MW10   0   0   0   0   0RRJ15-Dec-1994
MW00364MW40   0   0   0   0   0RRJ15-Nov-1997
MW00370MW10   0   0   0   110 0AB 15-Dec-1994
MW00370MW40   0   0   0   0   1RRJ15-Jul-1998
MW00388MW10   0   0   0   0   0KSM15-Apr-1992
MW00388MW40   0   0   0   0   0HLA15-Feb-1997
MW00392MW10   0   0   0   0   1KSM15-Nov-1992
MW00408MW10   0   0   0   0   0KSM15-Apr-1992
MW00416MW10   0   0   0   0   0KSM15-May-1992
MW00416MW40   0   0   0   0   0RRJ15-Jul-1996
MW00429MW10   0   0   0   0   0KSM15-May-1992
MW00434MW10   0   0   0   111 1KSM15-May-1992
MW00434MW40   0   0   0   0   1HLA15-Jun-1996
MW00441MW10   0   0   0   0   0KSM15-May-1992
MW00441MW40   11100   0   0   0HLA15-Sep-1996
MW00457MW10   0   0   0   0   0KSM15-May-1992
MW00457MW40   0   0   0   0   0MDA15-Mar-1997
MW00462MW10   0   0   0   0   0KSM15-May-1992
MW00462MW40   0   0   0   110 1RRJ15-Dec-1995
MW00473MW10   0   0   0   0   0KSM15-Mar-1993
MW00473MW40   0   0   0   0   1HLA15-May-1996
MW00485MW10   0   0   0   0   0KSM15-Mar-1993
MW00485MW40   0   0   0   0   1HLA15-May-1996
MW00503MW40   0   0   0   0   0HLA15-Aug-1998
MW00511MW10   0   0   0   0   0AB 15-Apr-1995
MW00511MW40   0   0   0   0   0RRJ15-Nov-1998
MW00524MW10   0   0   0   0   1AB 15-Dec-1994
MW00524MW40   0   0   0   0   2HLA15-Sep-1998
MW00539MW10   0   0   0   0   0KSM15-Jun-1992
MW00539MW40   0   0   0   0   0RRJ15-Sep-1995
MW00546MW10   0   0   0   0   0KSM15-Jun-1992
MW00546MW40   0   0   0   0   2HLA15-Feb-1997
MW00552MW10   0   0   0   0   0KSM15-Jun-1992
MW00552MW40   0   0   0   0   0HLA15-Apr-1996
MW00567MW10   0   0   0   0   0KSM15-Jun-1992
MW00567MW40   0   0   0   0   0HLA15-Jul-1997
MW00578MW10   0   0   0   0   0KSM15-Jun-1992
MW00578MW40   0   0   0   0   1HLA15-Jul-1997
MW00580MW40   0   0   0   151 1LJK15-Sep-1996
MW00595MW10   0   0   0   0   0KSM15-Jul-1992
MW00595MW40   0   0   0   0   0HLA15-Jun-1997
MW00604MW10   13100   0   0   0KSM15-Jun-1992
MW00604MW40   0   0   0   0   0HLA15-Sep-1995
MW00612MW10   0   0   0   0   0KSM15-Jun-1992
MW00612MW40   0   0   0   150 0HLA15-May-1996
MW00620MW10   0   0   0   110 0KSM15-Jun-1992
MW00620MW40   0   0   0   0   0HLA15-Feb-1998
MW00638MW10   0   0   0   0   4KSM15-Dec-1992
MW00638MW40   0   0   15110   6JMS15-Aug-1995
MW00645MW10   0   0   0   0   0KSM15-Sep-1992
MW00645MW40   0   0   0   0   0RRJ15-Jun-1996
MW00653MW10   0   0   0   0   1KSM15-Jun-1992
MW00653MW40   11100   0   0   0RRJ15-Sep-1995
MW00666MW40   0   0   0   0   0HLA15-Oct-1995
MW00677MW10   0   0   0   0   2KSM15-Jun-1992
MW00677MW40   0   0   0   150 5HLA15-Apr-1996
MW00681MW10   0   0   0   0   1KSM15-Jun-1992
MW00681MW40   0   0   0   0   2HLA15-Aug-1997
MW00699MW10   11100   0   0   0KSM15-Jun-1992
MW00699MW40   110 0   0   0   0HLA15-Jan-1996
MW00718MW10   0   0   0   0   0KSM15-Jun-1992
MW00718MW40   0   0   0   0   0HLA15-May-1996
MW00726MW10   0   0   0   0   1KSM15-Jul-1992
MW00726MW40   0   0   0   0   1HLA15-Apr-1996
MW00732MW10   0   0   0   0   1KSM15-Oct-1992
MW00732MW40   0   0   0   0   1HLA15-Mar-1997
MW00744MW10   0   0   0   0   0AB 15-Mar-1995
MW00744MW40   0   0   0   0   1HLA15-Oct-1998
MW00771MW40   0   0   0   0   0HLA15-Aug-1997
MW00807MW10   0   0   0   0   0KCK15-Feb-1995
