EAEA4138616 16 33  0  0 0 024 000011000011000000 0000000000
EAEA4139412  2  4  2  2 0 011 110011110011110000 0000000000
EAEA4139414 10  4  0  0 0 031 000011000011110002 2200011100
EAEA4139416  5  2  0  0 0 031 000011000011000000 0000000000
EAEA4141914 20 20  0  0 0 033 000011000011000000 0000000000
EAEA4142712  4 14  3  2 1 033 211011111011111000 0000000000
EAEA4142714 11 12  2  2 0 044 110011110011110000 0000000000
EAEA4143114 20 83  0  0 0 034 000011000011000000 0000000000
EAEA4144312 27 30  0  0 0 032 000011000011000000 0000000000
EAEA4144314 34 83  0  0 0 035 000011000011000000 0000000000
EAEA4144316 16 38  0  0 0 034 000011000011000000 0000000000
EAEA4301112 17 29  6  6 0 042 220011110011110001 0000010000
EAEA4301114 54 25 25  025 031 101011101011111000 1100001100
EAEA4301116  8  0  0  0 0 010 000010000010000000 0000000000
EAEA4302412  4  4  4  4 0 011 110011110011110001 0000010000
EAEA4302414  0  0  0  0 0 000 00000000001111114513634111111
EAEA4302416  2  0  0  0 0 010 000010000010000000 0000000000
EAEA4303912 29  2  2  2 0 031 220011110011110002 0000010000
EAEA4305212 12  0  0  0 0 020 000010000011110001 2200011100
EAEA4305214 10  0  0  0 0 030 000010000011110002 2200011100
EAEA4305216 12  1  0  0 0 031 000011000011110001 2200011100
EAEA4306712  9  4  0  0 0 031 000011000011101000 1010001010
EAEA4306714  5  4  0  0 0 021 000011000011000000 0000000000
EAEA4307812 16 24  9  9 0 034 330011110011110000 0000000000
EAEA4307814 58 43  2  0 2 035 202011101011101000 0000000000
EAEA4307816 38 77 10 10 0 045 220011110011110000 0000000000
EAEA4309514 20  2  0  0 0 041 000011000011000001 0000010000
EAEA4309516 31 10  0  0 0 032 000011000011110011 1100111100
EAEA4310414 12 30 12 10 2 024 431011111011111010 0000100000
EAEA4310416 37 33  0  0 0 033 000011000011000000 0000000000
EAEA4311212  8  7  7  3 4 033 321011111011111000 0000000000
EAEA4311214  0  2  0  0 0 001 000001000001000000 0000000000
EAEA4311216  5  4  0  0 0 031 000011000011000000 0000000000
EAEA4313812  9  0  0  0 0 040 000010000011000001 0000010000
EAEA4313814  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4313816  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4314514  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4314516  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4315312 14  6  0  0 0 034 000011000011000010 0000100000
EAEA4315314 37 14  4  4 0 044 110011110011110000 0000000000
EAEA4316612 69 60  4  4 0 045 220011110011110000 0000000000
EAEA4316614  8 10  0  0 0 023 000011000011000000 0000000000
EAEA4316616 24 24  0  0 0 033 000011000011000000 0000000000
EAEA4317714  4  0  0  0 0 010 000010000011110022 1100111100
EAEA4317716  9  6  0  0 0 034 000011000011000000 0000000000
EAEA4318112 20 10  1  0 1 042 101011101011101000 0000000000
EAEA4318114 14 17  2  0 2 042 101011101011111002 2110011110
EAEA4318116 10 12  4  4 0 044 110011110011111000 4220001110
EAEA4320616 18  6  0  0 0 043 000011000011000000 0000000000
EAEA4325512 20 15  4  4 0 031 110011110011110000 0000000000
EAEA4325514  0  0  0  0 0 000 000000000011000011 0000110000
EAEA4325516  8  0  0  0 0 020 000010000010000010 0000100000
EAEA4326412 55 25  0  0 0 031 000011000011110000 2200001100
EAEA4326414  4  0  0  0 0 010 00001000001111113512534111111
EAEA4326416  8  3 15 13 1 132 531111111111111101 1001011001
EAEA4327012 10  4  4  4 0 021 220011110011110011 1100111100
EAEA4327014  0  0  0  0 0 000 000000000011111122 5221111111
EAEA4327016  4  0  0  0 0 020 000010000011000001 0000010000
EAEA4329214  8  0  0  0 0 020 000010000010000000 0000000000
EAEA4329216  3  2  0  0 0 032 000011000011000000 0000000000
EAEA4333414 16 15  6  6 0 034 330011110011110000 0000000000
EAEA4333416 19  5  2  2 0 022 110011110011110010 0000100000
EAEA4335712 10  2  0  0 0 031 000011000011000000 0000000000
EAEA4335716  4  0  0  0 0 040 000010000010000000 0000000000
EAEA4339012 21  6  0  0 0 043 000011000011110001 3300011100
EAEA4339016  1  1  0  0 0 011 000011000011000000 0000000000
EAEA4342614  8     2  1 1 04  21101 11101 11100  00000 0000
EAEA4345912 24  6  0  0 0 043 000011000011101000 1010001010
EAEA4345914  0  0  0  0 0 000 000000000010000020 0000100000
EAEA4345916 25  0  0  0 0 010 000010000010000010 0000100000
EAEA4349312 48 40  2  2 0 032 110011110011110001 0000010000
EAEA4349314  2  1  0  0 0 011 000011000011000000 0000000000
EAEA4349316 10  1  0  0 0 021 000011000011110010 1100101100
EAEA4352212 58 79  0  0 0 034 000011000011000000 0000000000
EAEA4352214 12 12  0  0 0 023 000011000011000000 0000000000
EAEA4352216  4  8  0  0 0 012 000011000011000000 0000000000
EAEA4354812 18 25  3  3 0 043 220011110011110000 1100001100
EAEA4354814 49 12  5  3 2 042 321011111011111000 0000000000
EAEA4354816 20  8  0  0 0 033 000011000011000000 0000000000
EAEA4355012 55 27 16 16 0 033 220011110011110000 1100001100
EAEA4355016 75 57  0  0 0 034 000011000011111000 3210001110
EAEA4356912  0  1  0  0 0 001 000001000001000000 0000000000
EAEA4356914  1  0  0  0 0 010 000010000011110113 4103111101
EAEA4356916  1  0  0  0 0 010 000010000010110010 1100101100
EAEA4357512 20  2  0  0 0 031 000011000011000000 0000000000
EAEA4358312 12  2  1  1 0 032 110011110011110000 0000000000
EAEA4358314  4  3  0  0 0 012 000011000011110022 3300111100
EAEA4359714  5  0  0  0 0 020 000010000011110023 4400111100
EAEA4359716 35  0  0  0 0 040 000010000010110000 1100001100
EAEA4362312 45 21 10 10 0 044 330011110011110000 0000000000
EAEA4362314 58 87 12 12 0 035 330011110011110000 0000000000
EAEA4363512 35  0  0  0 0 040 000010000011110001 1100011100
EAEA4363514  7  1  0  0 0 031 000011000011000001 0000010000
EAEA4363516 12  1  0  0 0 041 000011000011110002 2200011100
EAEA4365112  3 24  0  0 0 023 000011000011110001 1100011100
EAEA4365114  1 10  0  0 0 013 000011000011110031 3300111100
EAEA4368412  8  8  4  4 0 032 110011110011110000 0000000000
EAEA4368414     4  0  0 0 0 1 0000 10000 11100 2 2200 11100
EAEA4368416  0  2  0  0 0 001 000001000011000010 0000100000
EAEA4369612 60  7  0  0 0 043 000011000011000000 0000000000
EAEA4370712100 10  2  1 1 042 211011111011111000 0000000000
EAEA4370714 42 14  2  1 1 043 211011111011111000 0000000000
EAEA4370716 16 27  9  9 0 042 440011110011110000 0000000000
EAEA4371512 16  6  2  2 0 042 110011110011110000 0000000000
EAEA4371514 20  8  0  0 0 031 000011000011000000 0000000000
EAEA4371516  8  0  0  0 0 010 000010000010000010 0000100000
EAEA4373012  4  4  0  0 0 011 000011000011110000 1100001100
EAEA4373014  2  1  4  3 1 021 431011111011111000 0000000000
EAEA4373016  0  0  0  0 0 000 000000000000000000 0000000000
EAEA4374212 35  5  0  0 0 042 000011000011000000 0000000000
EAEA4374214 10 12  1  1 0 033 110011110011110000 0000000000
EAEA4374216 24  6  0  0 0 042 000011000011000000 0000000000
EAEA4375612 16 15  2  0 0 235 100111100111100100 0000000000
EAEA4375614 14  6  0  0 0 043 000011000011000000 0000000000
EAEA4377414  0  0  0  0 0 000 000000000010000020 0000100000
EAEA4377416  8  0  0  0 0 020 000010000010000000 0000000000
EAEA4378912 16  0  1  1 0 020 110010110011110001 0000010000
